Brown Paper Sack,The Gentrys,spotify:track:2MUmxGWK06HQtnCklHgOio
You Baby (Mono) - Remastered,The Turtles,spotify:track:2dE7KnTU5z9nD1tntaS4Ge
Marriage Is For Old Folks,Nina Simone,spotify:track:4u09k6HNZvdAUHCJRoWIOA
One Track Mind,The Knickerbockers,spotify:track:20pwNCxtIhD393UkhOpKq3
Paradise - 2006 Remaster,Vanilla Fudge,spotify:track:6h0XgmUorwbYfvbM7pBXba
Tin Soldier - USA AM Radio Version,Small Faces,spotify:track:2GreDTpwssfKBkXwWvOvk5
"Don't Think Twice, It's All Right",Bob Dylan,spotify:track:2WOjLF83vqjit2Zh4B69V3
Instant Party Mixture - Mono Version,The Who,spotify:track:7gZDV2PD20w5G4KmyCTvBn
It's My Life,Tages,spotify:track:6nLof8RJxYNZCZYm0g5fqM
60 Minutes (Of Your Love),Love Affair,spotify:track:6C8h48luy99asRshpSS6Mk
There's A Place - Remastered 2009,The Beatles,spotify:track:4dessGxnKXmTbHPhVgqODq
Lost Women - The Mono Album,The Yardbirds,spotify:track:2Ajtl0ro60h3VN3rD3Y1IF
That's My Girl,The Monks,spotify:track:3zDVtPmPafIj6yQh4uuHur
The Kind of Girl I Could Love - Original Stereo Version; 2006 Remaster,The Monkees,spotify:track:6M1ORVcNzBxN3K97i0MAvx
White Room,Cream,spotify:track:5X76oXHcR5uCXali0gOyX5
Wondering Why,Royal Aircoach,spotify:track:6jm2kCkOR7cE1MRSfnJr6d
Fortune Teller,The Fire Escape,spotify:track:7Ec1aAORF02Jokm7Y8FWiH
I'm A Man - 2014 Stereo Mix,The Who,spotify:track:14RXXCuAC3DEVnvBQxbOa3
Let The Boy Rock 'N' Roll,The Lovin' Spoonful,spotify:track:1z71wJv4OZTeJbI4y3VWm8
Mud In Your Eye,Les Fleurs De Lys,spotify:track:53Sa0xpFPKg4HEy0OkSjtT
I Know You Rider,The Astronauts,spotify:track:4BpS2PfN0VatCOiZL8iEmZ
Runaway - Alternate Mix,Small Faces,spotify:track:3lkkvIMOPAKNbvC5a8Qxkk
Almost There (Mono) - Remastered,The Turtles,spotify:track:0itfLl7ROhDulciwARJasL
It's Too Late - Alternate Mix (Electronically Processed Stereo),Small Faces,spotify:track:16RyNUb2hGYmORCCJ7oAxe
Long Tall Shorty,The Kinks,spotify:track:743zkOboVZbT7HasNzmXD0
Softly to Me,The Tiffany Shade,spotify:track:1NRAfRSbCSe03z076SwiRc
PLASTIC RAINCOATS/HUNG UP MINDS,Ultimate Spinach,spotify:track:5lm7k0Ro1O2FZOuDGniTsS
I Want to Take You Higher,Sly & The Family Stone,spotify:track:6kdjd3IBSIjMWZEm5BFzNH
She's Coming Home,The Blues Magoos,spotify:track:2KuUB3XueS4F86tec7iDAA
I Love You More Than You'll Ever Know,"Blood, Sweat & Tears",spotify:track:608HuKHFh2N62z3Ja5vxXj
Love Minus Zero (Stereo),The Turtles,spotify:track:3m6UODnFLH5ZsD0t98Auas
I'll Do Anything,The Uniques,spotify:track:2TAt00xXFuJy76h6Ev6Cfu
I've Got You Under My Skin,Sammy Davis Jr.,spotify:track:3nwrL4fwfjeedQaSt7GxcV
What in the World,The Easybeats,spotify:track:37v6dJ5U6l27yuTCfPIKXx
"Go Back, You're Going The Wrong Way",Strawberry Alarm Clock,spotify:track:2wCgIsv9Y0rCyrJkIIpIy0
Cat's Squirrel - 2001 Remaster,Jethro Tull,spotify:track:5v8esf7EeuEDPdswyI5OAM
Memory Tree,Sugar Creek,spotify:track:0VSXevAF9DosZDvUN8en5m
Little Boys Life,The Motions,spotify:track:6NnORASidOakxtTOeNwdvc
Old Man Willow,Elephants Memory,spotify:track:4t5E5gutiMy7kv5Il5HlXI
How You Love Me - Remastered,The Turtles,spotify:track:4FDC0ofyRwoD17C0fENOtx
Maggie's Farm,Bob Dylan,spotify:track:5rGD8FFgHw74cp3RPhucyg
Sunny Afternoon - Mono Mix,The Kinks,spotify:track:0DQqzCHlPyKQXfF8uL01SI
Watch ÃÂ´NÃÂ´ Chain,Aynsley Dunbar Retaliation,spotify:track:1HWzP7umpoXuaD34wtJlEF
Lookin' for the Blues,Al Hirt,spotify:track:1BeFDIaxeFPMGQIHVhHzZs
All Tomorrow's Parties - Mono,The Velvet Underground,spotify:track:16d0cVzYPo4AwGHR4U0Av0
God Bless The Child,Fifty Foot Hose,spotify:track:0eynQfBWkSBMtjZrVk9Rdi
Knock On Wood,Os IncrÃÂ­veis,spotify:track:1EmBwfpSIbWtuGjsUbHLdo
Yama Yama,Yamasuki Singers,spotify:track:0OnCJaXesiG1B8McnBRboW
Going To A Go-Go,Smokey Robinson & The Miracles,spotify:track:6v5Teo5ohFzI1ePATWtoyV
Communication Breakdown - 2014 Remaster,Led Zeppelin,spotify:track:2E64SWjM9rQmAshItmdbcw
Why Don't We Do It In The Road? - Remastered 2009,The Beatles,spotify:track:4eLIq1nQNwz2qLu8DeiWIp
Sealed with a Kiss,Bobby Vinton,spotify:track:2W5UG7uGle3SlZiyzEGxls
Long Agos and Worlds Apart (Mono),Small Faces,spotify:track:6AGwgMmYPjzu7Smkhx1YD6
Eight Miles High,The Byrds,spotify:track:5v3utF8InHZKd8JZJK5rCx
Digan lo que digan,Raphael,spotify:track:3JclUL96MU6SWZCPb1wzih
There She Goes,The Blues Magoos,spotify:track:4CtDw1LphoyLwbFPJWlgXM
Eastern Rain,Fairport Convention,spotify:track:0ByksfVpE3YeltkOWkr8Pz
Badge,Cream,spotify:track:36dglrAWrxRGLzoqTQ8zfR
Don't Let Me Be Misunderstood,Nina Simone,spotify:track:4ICV7XzVIViFrx0qhx9qoc
The Game Of Love,Wayne Fontana & The Mindbenders,spotify:track:0jUfBCWrfrZGueD8MjvgMo
It's All A Part Of Me - Stereo,The Deep,spotify:track:1neusy7JP0lD2iO1tq5agX
"Wine, Wine, Wine",The Astronauts,spotify:track:61O3ZYj96gZ6SlxKXfegl4
These Days,Nico,spotify:track:1MD4tX2g5hx0D2WQ6JsC2m
I'm A Believer,The Monkees,spotify:track:0NydgmnDKmMX2ahulKycZg
You Don't Have to Walk in the Rain - Remastered,The Turtles,spotify:track:0yXOBLNP1KG1dnVz3Ak4FP
Instant Groove,King Curtis,spotify:track:4nl9gJlTCPvXbEWIsNs6Jr
Shotgun,Jr. Walker & The All Stars,spotify:track:6kLcntOPE1j5JyvQZmb8oH
Like People,The Tangerine Zoo,spotify:track:0lKf6PCNhi7cL7DKi50CjV
Spinning Wheel,"Blood, Sweat & Tears",spotify:track:2AhGWwkn71UUTDaQmqqxyw
Let The Cold Winds Blow (Mono),The Turtles,spotify:track:5j8vPpQOc6Ui1dUWr71460
"Yer Blues - Live ""Rock And Roll Circus"" Version",The Dirty Mac,spotify:track:7BigVNN73IPevltjTitBVB
Guide For The Married Man,The Turtles,spotify:track:1TIjsTHQeKFrZisQP3ccgf
"Summertime (From 'Porgy & Bess') - Live at the Winterland Ballroom, San Francisco, CA - April 1968",Big Brother & The Holding Company,spotify:track:3DAijforCnhIHWBnC6UXoH
There's so Much Love All Around Me,Tommy James & The Shondells,spotify:track:2MJsJPuO1F2klnWv5bdbKx
Both Sides Now,Joni Mitchell,spotify:track:3NW1YMA8kfNVTzGJCGBS8m
"Dead Man's Curve - Live In Sacramento, CA/1964",Jan & Dean,spotify:track:51cYwoMYmmG4VLngDLFQ6B
Bike,Pink Floyd,spotify:track:4gJrRkskBk1oyooA4qm67a
Willie The Pimp,Frank Zappa,spotify:track:3toxxSU3TcvzgmeR8LLUiX
In The Hall Of The Mountain King,The Who,spotify:track:0bhtLOWqEHXybvaWTLRAXn
Flower Society (May),Hal Blaine,spotify:track:1UEtpUEz1nha6ALmgNFbVY
Lots of Pretty Girls,Tommy James & The Shondells,spotify:track:76XXefqNyRrP3pm3uUckWS
Cristo Redentor - Remastered,Donald Byrd,spotify:track:0Xfq6BeOHdzf16gk9y8a1P
Bubble Gum,Kim Fowley,spotify:track:5FZYtrt8hXV4pLbFtMMJ9b
Green Tambourine,The Lemon Pipers,spotify:track:240FNg8tSGXr9OGswVMuO6
You Better Believe It,Small Faces,spotify:track:0SR20evNp168Z1ZNkGFrVz
Tomorrow Never Knows - Remastered,The Beatles,spotify:track:0agoaPIy92gPZ6zRhqXarE
Jumpin' Jack Flash,Wynder K. Frog,spotify:track:7DHjqqIQRGlr3hGvtGiKE6
Panama Red,The Yellow Balloon,spotify:track:3x2ygZIrze8okhNZKnB4KM
The Last Thing I Remember (The First Thing I Knew),The Turtles,spotify:track:6RS0otaoFi8MyilkLSiC73
Devil Driver,The Astronauts,spotify:track:7HFaCFSGdHYgvU9EMu6AV6
Within You Without You - Take 1 / Indian Instruments,The Beatles,spotify:track:2EVjL6ljSRdzvHvFgCXS7K
The Quieting Of Oliver Tweak (The Stone Freak),The Leaves,spotify:track:1iGIeJJoivSElwF7tcyny2
Egyptian Candy - Single Version,Kaleidoscope,spotify:track:3cDeD4KMLkJdSl9ERRyvGj
All I've Got To Do - Remastered 2009,The Beatles,spotify:track:5tztLBvTlNC15Np2tnQ5Ll
Get Off My Case,Josefus,spotify:track:0n7PN88OQfMM3rm5inB4zS
She's Not Comin' Home,Ohio Express,spotify:track:2revPgrvHzTKnX8Dklx7zU
Good Times,The Easybeats,spotify:track:3PPVHus0QPb4EzHZxAuqsu
Oh! Darling - Remastered,The Beatles,spotify:track:59CLXQLZKxRPzMW8S8Gt9N
Are You Lonely for Me Baby,Freddie Scott,spotify:track:1k4ezzB6K9OjDBs8MYasri
"I Should Have Known Better - Live In Sacramento, CA/1964",Jan & Dean,spotify:track:2BEexken5X1CDDVGA7bYhR
All Or Nothing - Alternate Mix (Electronically Processed Stereo),Small Faces,spotify:track:6sziyH8d6QELm57NpSpW83
Prelude - Nightmare,Arthur Brown,spotify:track:74f8k4sJdIRCQKuqv6AXG8
O' Baby (I Believe I'm Losing You),Billy Hawks,spotify:track:6vJCfp5FWFiiLpp8l8azbp
All My Loving - Remastered 2009,The Beatles,spotify:track:4joiWvli4qJVEW6qZV2i2J
Rose Colored Eyes,Moby Grape,spotify:track:7re95BYXgc8ps9OFyNmoLL
Anna (Go To Him) - Remastered,The Beatles,spotify:track:1hYuXMeJUOfoJFq0wBhzWV
She Always Leaves Me Laughing,The Turtles,spotify:track:5VcZlVidGMrVcx8rRyyhUE
I Ain't Gonna Eat out My Heart Anymore - Single Version,The Young Rascals,spotify:track:1GKtKXsCbpspPy1837Oaw9
Death Sound,Country Joe & The Fish,spotify:track:0H0g1bov9Zf2Ebqgod7R9R
"All I Have To Do Is Dream - Live In Sacramento, CA/1964",Jan & Dean,spotify:track:01GKzYKvVC1RSfcKB9XNip
House Of The Rising Sun,The Barbarians,spotify:track:6Ry3ZTBH1EZmlzr0h8T0f3
Mandy,The Easybeats,spotify:track:1rzYNEajmfh5P4ShFaMT9L
Illusions,The Motions,spotify:track:28G74jrdnBEwcA3b8D8Us1
My Old Man's a Groovy Old Man,The Easybeats,spotify:track:5lkb2k44XnuMcRBU5nJcPP
Mister Sandman,Anita O'Day,spotify:track:4JwD0RM8ompGJTVtW9OTOK
No Time - Second Version; Tracking Session Composite,The Monkees,spotify:track:5MSAqcs1Dg2lQkJZKDZ4EV
Heated Love,Strawberry Alarm Clock,spotify:track:7abxbkRwll2p3kxKfGK2Cb
Star Track,Jefferson Airplane,spotify:track:2gApjlWDiKgOhoQ0PBA4hk
Happy Is the Man - Alternate Mix,The Easybeats,spotify:track:7DYDXf1s2pb7JxdRHXeIVC
Fool No. 1,The Uniques,spotify:track:0c69izSD5Ftuzb4imLJA7c
"Girl, You'll Be A Woman Soon",Neil Diamond,spotify:track:7Go395rWUIDDf0ufuVPr7Y
Travelin' Man,The Astronauts,spotify:track:1KAedEG7BpYzeByMfWnLoV
Crying Song,Pink Floyd,spotify:track:2mZreZ4DxJE1et4I7Zy9l7
"Run, Run, Baby, Run",Tommy James & The Shondells,spotify:track:0NPblIaLOWPkAnLvYU7O41
Just Let Go,The Seeds,spotify:track:4LCCfr1GnI7SXR5iUP8hpS
This Guy's In Love With You,Herb Alpert & The Tijuana Brass,spotify:track:7a3g7jILDCvADVN9NQIyYj
It's Only a Reflection,The Weeds,spotify:track:3FR6q9HAEztbZv3HGGUtfO
Chorus and bass fugato,Stelvio Cipriani,spotify:track:1sUIuLIvS4n9sEFJtEzLCi
Being For The Benefit Of Mr. Kite! - Remix,The Beatles,spotify:track:3mMv7l7eHDHgpJqJvjXdWx
All My Problems - Remastered,The Turtles,spotify:track:77vvjoY68YmL4qOxtt4EGB
No Particular Place To Go,Chuck Berry,spotify:track:6yb74UNBAyeNtFXRDlhGgJ
Lady Willpower,Gary Puckett & The Union Gap,spotify:track:2v32CGfALncxmdlF4JbKZ4
Soul And My Will,Open Mind,spotify:track:5ZRTCQNwGBnByxv6mbZMj0
Where Has It All Gone - First Version - Tracking Session Take 1,The Monkees,spotify:track:21Z7nJesH5sSjmCUvhmhhf
It's Now or Never,Elvis Presley,spotify:track:5mlaaeSzFsH4ouhLrUHCbw
Daddy Rolling Stone - Alternate Version,The Who,spotify:track:6fFi5uXiXWni7zXA6ef76C
One Minus Two,Magic,spotify:track:0JqKEXcIUTZiL4w9W6FeEI
Train Leaves Here This Mornin,Dillard & Clark,spotify:track:3QakrNWYNgZ89by21ImeBN
We Love You - Single Version/Mono,The Rolling Stones,spotify:track:5dDPFVD26G55XYYaKIexRS
Psychotic Reaction,The Fire Escape,spotify:track:2QCVgnpQNbgwbiOJJ5MsGU
Angel Of The Morning,Evie Sands,spotify:track:2SraANnDPs9ftJGGg8tOkN
Leaving Here,The Who,spotify:track:2lyVnPFacCuxjjsD9u3XsY
Ain't That Just Like Me,The Astronauts,spotify:track:4488c5ibc7IeHQkdY4l1Kg
The Savage,The Shadows,spotify:track:3DJemO4MePqTERCiMHdi6j
SWLABR,Cream,spotify:track:1RTPjCA8T2wjxomLc3oMTx
Forget That Girl,The Monkees,spotify:track:1BQkpZinlJqOoIjE4PeMjj
Sock It My Way,The Animated Egg,spotify:track:6mUIe4SJ3fdWln9DEgxeHy
I'm Gonna Leave You,Nina Simone,spotify:track:2NFAQmxnXxBRKsAJ1wR6Rj
Magic Carpet Ride,Steppenwolf,spotify:track:05B7Kc8fvBlX0OWbE6piPZ
Pineapple Princess,Santo & Johnny,spotify:track:5mEbAItEnLbCgE8uYWfZf2
Say You Want Me,The Easybeats,spotify:track:61dVtWcEfF5JVxb7hkqdrp
It Don't Matter to Me,Bread,spotify:track:5CXIWgBcyg4qpHIrcOF1da
I Am a Rock,Simon & Garfunkel,spotify:track:0byOqNZN9ailhoORv5Ps0Z
"Little Speedy Gonzalez - From the Film ""Wild On the Beach"" a Twentieth Century- Fox Release",The Astronauts,spotify:track:6YfSKdGglEYmZNZanBAYcC
Do Your Thing,Charles Wright & The Watts 103rd Street Rhythm Band,spotify:track:5Rzxqve16s61lHAkSMFN8Y
Linda Lou,The Astronauts,spotify:track:0Yq6kTgRX7Qua4g2w91OgJ
House on the Hill - Remastered,The Turtles,spotify:track:2WZBYIENLXLAvVHbiArqo3
She Hangs Out - 2007 Remastered Version,The Monkees,spotify:track:617oJUdvaKATDw9T8CYYg2
She's Just My Style,The Astronauts,spotify:track:5yUznDHghxTElczQV9GkUY
I Need You,The Astronauts,spotify:track:5lIHKtLcySn9OUaDTR9dkl
The Sun Shines out of Your Shoes - Remastered Version,The Vogues,spotify:track:4g62Z7jz3IT79QXze5lIM9
Gonna Buy Me a Dog - 2006 Remaster Original Stereo Version,The Monkees,spotify:track:7vifADJGSuCGQc2xmEzprL
I Can't Keep From Crying Sometimes,The Blues Project,spotify:track:3ZoM6IibvPeBLGYOfGcFln
Barbara Ann,The Who,spotify:track:0dggW45lnnQGsQFYMsbsEW
Straight Shooter,The Mamas & The Papas,spotify:track:5m63cyB8bzbRSEs53K8CxF
Instant Party Mixture - Stereo Version,The Who,spotify:track:45k6mrm70Sjx1jQm2unpUg
Wanderin' Kind (Mono),The Turtles,spotify:track:4HI9EgTTBjUtD1V7aJ89Ob
She's A Rainbow - Stereo Full Version / With Intro,The Rolling Stones,spotify:track:6zIvpe2C5AIEe0O80j9aDz
The Girl I Knew Somewhere - Mono Single Mix; 2007 Remaster,The Monkees,spotify:track:0jUeJHaJu277pcmVxT8jdM
All Over the World - Remastered,FranÃÂ§oise Hardy,spotify:track:3YhJwSsJ1i739rmqGS3gaF
Maybe,Janis Joplin,spotify:track:0xGSeBsG4V8Scc5YqpZQ66
Georgia (On My Mind),The Uniques,spotify:track:7s0yBKBhk7i0MZERcla9s3
But I Ain't Got You,The Remains,spotify:track:29c3AaZLEk1gk2NdYtLUN2
Who Am I to Say (I'll Just Play),Magic,spotify:track:6HuGq4EoARBr6URyb8032h
Surf Rider,The Lively Ones,spotify:track:7sOBuRK26Ov7CR5fRSR7Om
When Something Is Wrong with My Baby,Sam & Dave,spotify:track:056rtilqF4cqLOgDQGqYqv
Om,The Moody Blues,spotify:track:2docICmvIPlYyyrsDCD9nl
Agnus Dei,The Electric Prunes,spotify:track:6IsKbVYXPLBVotINf6SFyV
Dimples,The Animals,spotify:track:3yguY1Elh8y0UavCFMjLfs
Eulogy,Strawberry Alarm Clock,spotify:track:0W2YgxTWZ5oa13uZNmmV3u
Jeff's Boogie - The Mono Album,The Yardbirds,spotify:track:3Bfex1ecIKl2ncekpvhAQe
I Need Someone (Stereo),The Turtles,spotify:track:2LM2CNuzfxhFcGUoW1IET1
Strange,The Uniques,spotify:track:5As0yKqfCuMI0gkYtA335q
Reason To Believe,Tim Hardin,spotify:track:0xGgv9u5VuAmFUUmWg3vbl
96 Tears,The Music Machine,spotify:track:159BmzFhX3fNFVySdAS3sd
Release Me,Engelbert Humperdinck,spotify:track:0Si6MQzSdOyfWTy0LP5ojD
The School Boy,David Axelrod,spotify:track:2XW85bXnb2s4BqmPqFtLsj
Fly Me to the Earth,Wallace Collection,spotify:track:3drKEw3spxFHMC3Geh4ZIi
Head Radio Spot,The Monkees,spotify:track:0ufSCmn5X79ymhO1F3F3z3
I Can't Help Myself,The Supremes,spotify:track:6HzkBoUMX1kQWizJgP1Uvy
"Winter Nocturne - From the Film ""Wild On the Beach"" a Twentieth Century- Fox Release",Jackie & Gayle,spotify:track:1xEzIl6vKDFK2yJIl5P2Nw
Sun King - Remastered 2009,The Beatles,spotify:track:4nwKdZID1ht0lDBJ5h2p87
Witch,The Sonics,spotify:track:2qh9L2hd7JTqBSgFu0RRCM
Shake,Small Faces,spotify:track:4XmFSdenM8gHtz8bvX6BVq
Everything's Changing,Kak,spotify:track:3bOSdPQPq5kKdGeSi7tUs9
Black Night,Savoy Brown Blues Band,spotify:track:62x4lrYu1t1D9SpbzuTvEF
Soul Sacrifice,Santana,spotify:track:4e0GkgtMPZFt41Ua8PlHQL
Do I Move You?,Nina Simone,spotify:track:0aIcFRGr88cGtlEJBuDub6
Patterns - Alternate Mix (Electronically Processed Stereo),Small Faces,spotify:track:1dvX6QHSlqQQ5Lxg8t0VQc
Don't Bring Me Down,HM Subjects,spotify:track:22tNgS6V6WgApTJnpZVTin
I'll Be Your Mirror,The Velvet Underground,spotify:track:1sSxaMBp2fNwMER4EE2Eci
Give Love A Trial (Mono),The Turtles,spotify:track:0aLhctR6cjc5Ton3xmp7t1
"Oh, Sweet Mary",Big Brother & The Holding Company,spotify:track:18KX4GoXDoJMZ8RA4T6wuo
I'm Happy,The Easybeats,spotify:track:0xtnjvJAnDS5Z4qjoORKGo
The Kids Are Alright - 2014 Stereo Mix,The Who,spotify:track:5BpapZc2LZpxs7ttymWNMU
Our Love Was - Take 12 Rejected Mono Mix,The Who,spotify:track:62R1cgqavX3Q0TsLqlGx5z
Women (make You Feel Alright),The Easybeats,spotify:track:76RdolcJi6g6rY2e7c9O56
Come On Children,Small Faces,spotify:track:72qjmENWlveN63hmyFBO4l
A Day In The Life - Take 1,The Beatles,spotify:track:3FplMj2gYs4cymgvLvl8sO
See Line Woman,The Easybeats,spotify:track:0UlSex651I0GK9K3CoPzEE
"Hello, Goodbye - Remastered",The Beatles,spotify:track:7c76SiAfT7JkMiCm8BBCcP
The World I Used To Know,The Johnny Mann Singers,spotify:track:5ylvgAgXJOoVpYb0QaWMRi
Let the Live Live - Single Version,The Sorrows,spotify:track:2RW3BEFO6tj1U2qFls4v37
Seven Bridges Road,Steve Young,spotify:track:46zomuK9TeFbNbMJDo18nl
Interstellar Overdrive - 2011 Remastered Version,Pink Floyd,spotify:track:0FOHxaEjmFeuCgMUEGxiok
Got To,? & The Mysterians,spotify:track:4jDlDTcnZNFWshoMBBzd8Q
Let The Cold Wind Blow (Stereo),The Turtles,spotify:track:1ePDV86RYyCqUD7LlvuCyr
You Better Believe It,Small Faces,spotify:track:3vmOmn8NBUDtM2KhledBOR
I'm a Rollin' Stone,The Astronauts,spotify:track:3pL4IAZ96HEvXxUPrFn6cm
Merlin's Prophecy,David Axelrod,spotify:track:33qLUpk1FgDTBl4X0lkEIC
Batucada (Batacada Surgin),Marcos Valle,spotify:track:3u1EGNrYljQiIPQuE5AAzd
I Had Too Much to Dream (Last Night),The Electric Prunes,spotify:track:6L5dtq8gL0XS0GLgsTHq8U
Treat Her Right,The Uniques,spotify:track:1nHvxDLxE9eSDHhilAVDWg
You've Really Got A Hold On Me,Small Faces,spotify:track:31i8As4WioYUEMonh53Cgh
Morning Dew - 2013 Remaster,Grateful Dead,spotify:track:7fCTruy1ZspFeMdgAENzCe
Meshkalina,Traffic Sound,spotify:track:26LfFx8cu2waE73ERKNNK7
Besame Mucho,Julie London,spotify:track:4BPwIKJwn8XcBsFd3opDbI
"A Quick One, While He's Away - Mono Version",The Who,spotify:track:3SqL1v5qktYFJ3WXGzR8hy
Freeway Flyer,Jan & Dean,spotify:track:3377ugl7kjipOMqPvQaZTG
Medication,The Standells,spotify:track:61xHAF3hxOaxemk5j9cVTV
The Old Man's Back Again (Dedicated To The Neo-Stalinist Regime),Scott Walker,spotify:track:23LS90srRC3n86OWgUBUQx
Alone Again Or,Love,spotify:track:6hXHOrhKW9dgQt35Mc5dCb
Closer To The Truth,Eric Burdon & the Animals,spotify:track:6jqPmJaf6uGEQ6SABB7l4T
Get Down with It,Little Richard,spotify:track:63VN1yQ8RcKMUVX4KMRsBy
Hot Burrito #2,The Flying Burrito Brothers,spotify:track:6S1d9DfcBacEyeBReLwmdh
Strawberry Fields Forever - Take 26,The Beatles,spotify:track:0je32DnbaZ3DzrT6pVia8x
Say That Your Mine,The Easybeats,spotify:track:30jbbhdNutzWaVP2nzx1vk
Penny Lane - Vocal Overdubs And Speech,The Beatles,spotify:track:5H7u0LYDbDeYFp9ZAAP8Di
Whipping Post,The Allman Brothers Band,spotify:track:5JBUpI6OGZahUqchMKe6UY
Within You Without You - Remix,The Beatles,spotify:track:0zOVNfqK09eYVHhv5N3lNY
"Pega a Voga, Cabeludo",Gilberto Gil,spotify:track:3Gzach1P14oPtAmyXNSYKT
I Got My Mojo Working,The Zombies,spotify:track:7wTmLxGgP0NMBHuOiK0vez
Lubie (Come Back Home) - Mono Version,The Who,spotify:track:5RdZr0DUxEwnJfKEIzf2zd
Dancing Gods,Silver Apples,spotify:track:7H0uTed9arJAtRoiNweL1K
Can't Buy Me Love - Remastered 2009,The Beatles,spotify:track:3SdingSsFcZDZAyvcJbgAw
Down Home Girl,The Astronauts,spotify:track:0PLiNcigjRovX2TDoeq5vH
Hanky Panky - Single Version,Tommy James & The Shondells,spotify:track:3uqEiaO6MUoM89nLSIs05c
Birdie In a Cage,Horses,spotify:track:3ekmbMV3dkr5dn8K1jQWTX
Nine Times Blue - Demo,The Monkees,spotify:track:07gG5wUDv7vTVVU5fw6F5D
The Loco-Motion - Single Version,Little Eva,spotify:track:1hClDWPgajpLIFjLOkFuau
Amanda,Big John Patton,spotify:track:61maVHQ0NohrtSMiYqpsz0
People In The Streets,Superfine Dandelion,spotify:track:4d6hcuAXvcBUeQxR9vaXyT
Sitting On A Star,Strawberry Alarm Clock,spotify:track:5N23F0r5o0b2Anbc4V7Xlt
Venus In Furs,The Velvet Underground,spotify:track:31Vpkc8mcRHjTV7SCE7mTB
"Ob-La-Di, Ob-La-Da - Remastered 2009",The Beatles,spotify:track:1gFNm7cXfG1vSMcxPpSxec
Fourteen Carat Mind,Gene Watson,spotify:track:2RB2xSlVoMRhINO0SruNIx
For My Woman,The Easybeats,spotify:track:1uQvqSDQR6rUhiSr3XOSPJ
Luzifers Ghilom,Amon DÃÂ¼ÃÂ¼l II,spotify:track:5mUzh4oK6tf2Jn1v7bAyK8
All These Things,The Uniques,spotify:track:1dhINlQ1o3mjCPG7OYmTOW
Just Because,Al Hirt,spotify:track:4SKT7IlAwnw8TYVCMRjYWF
Dream A Little Dream Of Me - Album Version With Introduction,The Mamas & The Papas,spotify:track:7ytqdjooPEAa97QSu6NUHS
Tobacco Road,The Nashville Teens,spotify:track:7bl2vSiGY8L1isJNLI7Eug
Forget Him - Bonus Track,Bobby Rydell,spotify:track:0wZ4VgEuLW5g3rMrV0JsWn
Flora,The New Hobbits,spotify:track:3YX0FYGhwhlE4o3kYYQMb3
Sei war mein Girl,The Sorrows,spotify:track:4S7j93J4kcBxUneyPn0Sbb
Polythene Pam - Remastered 2009,The Beatles,spotify:track:1FTCA6wQwulQFokDddKE68
There! I've Said It Again - Single Version,Bobby Vinton,spotify:track:6Scrggc1xNuIKYWdsftodj
Do You Love Me,The Sonics,spotify:track:4BHBYkgzTnXWV0klZT2Y6e
If the Night,Kaleidoscope,spotify:track:5J7xsxDEaEFiA1eesUv8dC
Big Boss Man,The Pretty Things,spotify:track:1aJ94YB9fbrW1ejuJghMM9
Christmas Is The Day - Bonus Track,The Free Design,spotify:track:1lJrLaAr1AwNztvcbQ4rn2
Interstellar Overdrive,Pink Floyd,spotify:track:3xyTufSSGLP3oZnomceAVW
My Generation - Stereo Version,The Who,spotify:track:6awTbDHgM907tGecNQYPaV
A Taste Of Honey - Remastered 2009,The Beatles,spotify:track:7fh53ta3vAOGJMQ4i5tCHe
Too Old,Andromeda,spotify:track:4ojbwgBiXIYWpRjr8mZD3E
Come Back To Me,Dusty Springfield,spotify:track:64uJkJ4TZYWhTbswhCnpyc
Instant Party - Mono Version,The Who,spotify:track:2BCq8VXWOL5fA6J6JJjtTc
When Love Comes Knockin' (At Your Door) - Original Stereo Version; 2006 Remaster,The Monkees,spotify:track:6mqnvF9RVn04nmD3Li12pk
He,Moby Grape,spotify:track:3qsRKBLgruxzuv9rvGU5RM
2000 Light Years From Home - Remastered 2017 / Stereo,The Rolling Stones,spotify:track:4EPtqZQeTpMTAzFey8wCIa
Pretty Big Mouth,Count Five,spotify:track:2rzsi8v63YA1LGJE4yLRBQ
Baby Please Don't Go - Live,MC5,spotify:track:6DncizihA6h8T7upWtREND
Curse Of The Witches,Strawberry Alarm Clock,spotify:track:3ZrH9X22RseDH8eAtmVPE6
Hill of Dreams,Writing On The Wall,spotify:track:3N58liDBaT0oxJIdb861Js
Strawberry Fields Forever,The Beatles,spotify:track:46JGVfEEiBScTaiP3Bnh27
Run Run Run - Live,The Velvet Underground,spotify:track:6J82rlQJhvPhGKhYaQtHYT
Born To Be Wild,Steppenwolf,spotify:track:63OFKbMaZSDZ4wtesuuq6f
La madrague,Brigitte Bardot,spotify:track:6S4VGbTsHYtqchpkCx0kxW
Either Way I Lose,Nina Simone,spotify:track:3Fdz5Fs5jdbvyezIxj3Jrv
Lubie (Come Back Home) - Stereo Version,The Who,spotify:track:0W6Y5I6mCVWJV6oORG5udm
Big Girls Don't Cry,Frankie Valli & The Four Seasons,spotify:track:00meczE1jpLTX0BBzIGrAR
Who's Lovin' You,The Miracles,spotify:track:1AwOicEyTI21OegBBBVf5O
