Outside Woman,Bloodstone
Philadelphia,B.B. King
"If It Don't Fit, Don't Force It",Kellee Patterson
Lost Without Your Love,Bread
I Only Have Eyes For You,Art Garfunkel
Say You Love Me,Fleetwood Mac
Did You Boogie (With Your Baby),Flash Cadillac And The Continental Kids
Keep The Customer Satisfied,Gary Puckett
Give Up Your Guns,The Buoys
Think,James Brown
You Should Be Dancing,Bee Gees
Booty Butt,The Ray Charles Orchestra
Sometimes When We Touch,Dan Hill
She's Not Just Another Woman,The 8th Day
Come And Get Your Love,Redbone
Roller,April Wine
Solsbury Hill,Peter Gabriel
Fairytale,The Pointer Sisters
Teddy Bear's Last Ride,Diana Williams
Mademoiselle,Styx
Shattered,The Rolling Stones
She's All I Got,Freddie North
You Ain't Never Been Loved (Like I'm Gonna Love You),Jessi Colter
Rings,Lobo
Everybody Ought To Be In Love,Paul Anka
Shackin' Up,Barbara Mason
I Need Someone (To Love Me),Z.Z. Hill
Mama Told Me (Not To Come),Three Dog Night
Sitting In Limbo,Don Brown
Afro-Strut,The Nite-Liters
"Black Superman - ""Muhammad Ali""",Johnny Wakelin & The Kinshasa Band
If I Have To Go Away,Jigsaw
Always,Luther Ingram
The Coldest Days Of My Life (Part 1),The Chi-lites
Here I Go (Fallin' In Love Again),Frannie Golde
Bitter Bad,Melanie
Beautiful Sunday,Daniel Boone
Bicycle Race/Fat Bottomed Girls,Queen
Get On The Good Foot-Part 1,James Brown
Spanish Harlem,Aretha Franklin
Never Can Say Goodbye,Isaac Hayes
Dancin' Man,Q
Blue Collar Man (Long Nights),Styx
Thank You Falettinme Be Mice Elf Agin/Everybody Is A Star,Sly & The Family Stone
Can You Get To That,Funkadelic
You're All I Need To Get By,Aretha Franklin
Gimme Shelter,Grand Funk Railroad
Ain't Gonna' Hurt Nobody,Brick
Fanny (Be Tender With My Love),Bee Gees
Sunset Strip,Ray Stevens
Prisoner Of Your Love,Player
Loves Me Like A Rock,Paul Simon (with The Dixie Hummingbirds)
Mother Nature,The Temptations
"Yes, Yes, Yes",Bill Cosby
Knock Knock Who's There,Mary Hopkin
I Can't Wait Any Longer,Bill Anderson
Just You And I,Melissa Manchester
Sho Nuff Boogie (Part I),Sylvia And The Moments
The Heartbreak Kid,Bo Donaldson And The Heywoods
Every Day Of My Life,Bobby Vinton
What Can I Say,Boz Scaggs
Most Of All,B.J. Thomas
Devotion,"Earth, Wind & Fire"
Wildwood Weed,Jim Stafford
I'd Like To Teach The World To Sing (In Perfect Harmony),The Hillside Singers
Can't You Hear The Song?,Wayne Newton
Give The People What They Want,The O'Jays
Your Song,Elton John
Doing It To Death,Fred Wesley & The J.B.'s
Just Too Many People,Melissa Manchester
You Took The Words Right Out Of My Mouth,Meat Loaf
Imagine,John Lennon Plastic Ono Band
Lay Down (Candles In The Rain),Melanie with The Edwin Hawkins Singers
A Dose Of Rock 'N' Roll,Ringo Starr
My Forbidden Lover,Chic
Hallelujah,Sweathog
Riki Tiki Tavi,Donovan
Walking Through The Country,The Grass Roots
The Breakdown (Part I),Rufus Thomas
I'm Easy,Keith Carradine
Photograph,Ringo Starr
Tell Me That I'm Wrong,"Blood, Sweat & Tears"
Capture The Moment,Jay & The Americans
I've Got A Thing About You Baby/Take Good Care Of Her,Elvis Presley
Smarty Pants,First Choice
5:15,The Who
The Last Thing On My Mind,Neil Diamond
"Gypsys, Tramps & Thieves",Cher
You Says It All,Randy Brown
Who Was It?,Hurricane Smith
Spooky,Atlanta Rhythm Section
Sir Duke,Stevie Wonder
Love Gonna Pack Up (And Walk Out),The Persuaders
Me And Mrs. Jones,Billy Paul
Daytime Night-Time,Keith Hampshire
Get Used To It,Roger Voudouris
"Take Me Girl, I'm Ready",Jr. Walker & The All Stars
That's The Way Of The World,"Earth, Wind & Fire"
Make Me The Woman That You Go Home To,Gladys Knight And The Pips
Open Sesame - Part 1,Kool & The Gang
Walkin' In The Rain With The One I Love,Love Unlimited
Nutrocker,"Emerson, Lake & Palmer"
Another Puff,Jerry Reed
Let Me Start Tonite,Lamont Dozier
Where Are You Going To My Love,The Brotherhood Of Man
I'm So Anxious,Southside Johnny & The Asbury Jukes
You Said A Bad Word,Joe Tex
Ooh Boy,Rose Royce
Chevy Van,Sammy Johns
Angel Baby,Dusk
Bring The Boys Home,Freda Payne
Empty Arms,Sonny James
Hey Baby,J.J. Cale
Farewell Andromeda (Welcome To My Morning),John Denver
Long Ago Tomorrow,B.J. Thomas
This Old Man,Purple Reign
The Ghetto-Part 1,Donny Hathaway
El Bimbo,Bimbo Jet
We Can Make It Baby,The Originals
He Made A Woman Out Of Me,Bobbie Gentry
I Will Survive,Gloria Gaynor
Sub-rosa Subway/calling Occupants,Klaatu
I Feel Love,Donna Summer
Without Love,Aretha Franklin
Until Now,Bobby Arvon
My Baby's Baby,Liquid Gold
This Is It,Kenny Loggins
Shake Your Rump To The Funk,The Bar-Kays
Help Me Make It Through The Night,Gladys Knight And The Pips
Young Love,Ray Stevens
Don't Let It Get You Down,The Crusaders
Out Of Time,The Rolling Stones
Walk Like A Man,Grand Funk
Peace Train,Cat Stevens
"Easy Come, Easy Go",Bobby Sherman
Love Me,The Rascals
Long Haired Country Boy,The Charlie Daniels Band
It Doesn't Matter,Stephen Stills
No Arms Can Ever Hold You,Bobby Vinton
Best Of My Love,Eagles
We,Shawn Phillips
Shadow Dancing,Andy Gibb
I've Never Been In Love,Suzi Quatro
Day And Night,The Wackers
From Graceland To The Promised Land,Merle Haggard
"Signed, Sealed, Delivered (I'm Yours)",Peter Frampton
Heartbreak Road,Bill Withers
Oh! Darling,Robin Gibb
Your Love,Graham Central Station
"Gonna Fly Now (Theme From ""Rocky"")",Maynard Ferguson
What Am I Gonna Do,Smith
I'll Be The Other Woman,The Soul Children
Already Gone,Eagles
Locomotive Breath,Jethro Tull
Breaking Up Is Hard To Do,Lenny Welch
Back Off Boogaloo,Ringo Starr
Crocodile Rock,Elton John
Apeman,The Kinks
That Song Is Driving Me Crazy,Tom T. Hall
Miss America,Mark Lindsay
Long Promised Road,The Beach Boys
I'd Rather Be A Cowboy,John Denver
Take Me Home,Cher
Please Don't Leave,Lauren Wood
Katmandu,Bob Seger
Put Your Hand In The Hand,Ocean
Here I Am Come & Take Me,Al Green
Nevada Fighter,Michael Nesmith & The First National Band
Steppin' Out (Gonna Boogie Tonight),Tony Orlando & Dawn
Last Of The Singing Cowboys,The Marshall Tucker Band
"Hey Hey, My My (Into The Black)",Neil Young & Crazy Horse
Ain't Wastin' Time No More,The Allman Brothers Band
The Groove Line,Heatwave
Son Of Sagittarius,Eddie Kendricks
Come Running,Van Morrison
"Sweet, Sweet Smile",Carpenters
Poetry Man,Phoebe Snow
Jessica,The Allman Brothers Band
Here Comes The Night,The Beach Boys
Make Up Your Mind,The J. Geils Band
One Chain (Don't Make No Prison),Santana
Sandy,The Hollies
You Can't Always Get What You Want,The Rolling Stones
Movin' On,Bad Company
Paranoid,Black Sabbath
Natural High,Bloodstone
Sexy,MFSB
People In Love,10cc
Feelings,Walter Jackson
Making Our Dreams Come True,Cyndi Grecco
Sneakin' Up Behind You,The Brecker Brothers
Stay Awhile,Continental Miniatures
I Found My Dad,Joe Simon
All You Get From Love Is A Love Song,Carpenters
Upsetter,Grand Funk Railroad
Ball Of Confusion (That's What The World Is Today),The Temptations
Still,Commodores
I Can't Live A Dream,The Osmonds
Runnin' With The Devil,Van Halen
Diamonds And Rust,Joan Baez
Cocomotion,El Coco
Me And Mrs. Jones,Ron Banks And The Dramatics
If I Only Knew,Ozark Mountain Daredevils
Harvest For The World,The Isley Brothers
I'm Dreaming,Jennifer Warnes
Black Friday,Steely Dan
In For The Night,The Dirt Band
In These Changing Times,Four Tops
United We Stand,The Brotherhood Of Man
California Girl,Eddie Floyd
Good Enough To Be Your Wife,Jeannie C. Riley
If Not You,Dr. Hook
What's Happened To Blue Eyes/You Ain't Never Been Loved (Like I'm Gonna Lov,Jessi Colter
On The Wrong Track,Kevin Lamb
Almost Saturday Night,John Fogerty
Tush,ZZ Top
What A Difference You've Made In My Life,Ronnie Milsap
We're Getting Careless With Our Love,Johnnie Taylor
Flashback,The 5th Dimension
Renegade,Styx
Don't Let It End ('til You Let It Begin),The Miracles
Livin' Ain't Livin',Firefall
You're The One For Me,Joe Simon
Do What You Wanna Do,T-Connection
Take Me To The River,Syl Johnson
It Amazes Me,John Denver
I'll Meet You Halfway,The Partridge Family Starring Shirley Jones Featuring David Cassidy
Music Box,"Evelyn ""Champagne"" King"
It's One Of Those Nights (Yes Love),The Partridge Family Starring Shirley Jones Featuring David Cassidy
Driver's Seat,Sniff 'n' the Tears
Could You Ever Love Me Again,Gary & Dave
Don't Pull Your Love/then You Can Tell Me Goodbye,Glen Campbell
My Thang,James Brown
I've Been Lonely For So Long,Frederick Knight
Free Ride,Tavares
Don't Send Nobody Else,Ace Spectrum
As The Years Go By,Mashmakhan
I Don't Wanna Lose Your Love/Flowers,The Emotions
I'm Coming Home,Stories
West Coast Woman,Painter
Livin' For The Weekend,The O'Jays
Nobody But You,Kenny Loggins With Jim Messina
That's Where The Happy People Go,The Trammps
There's Got To Be Rain In Your Life (To Appreciate The Sunshine),Dorothy Norwood
For Your Love,Christopher Paul And Shawn
Hell Cat,Bellamy Brothers
Piano Man,Billy Joel
Best Beat In Town,Switch
Mama Let Him Play,Doucette
Brighton Hill,Jackie DeShannon
Put A Little Love Away,The Emotions
"Good Times, Rock & Roll",Flash Cadillac And The Continental Kids
You Make Me Crazy,Sammy Hagar
Le Spank,Le Pamplemousse
Forever Autumn,Justin Hayward
Goodbye To Love,Carpenters
Love Is A Rose,Linda Ronstadt
Don't Fight The Hands (That Need You),"Hamilton, Joe Frank & Dennison"
I Still Have Dreams,Richie Furay
Help Yourself,The Undisputed Truth
Dedication,Bay City Rollers
So Close,Jake Holmes
Problem Child,Mark Lindsay
Be,Neil Diamond
I Won't Mention It Again,Ray Price
Swayin' To The Music (slow Dancin'),Johnny Rivers
Higher Ground,Stevie Wonder
As Time Goes By,Nilsson
If You Can't Give Me Love,Suzi Quatro
Belle,Al Green
One More Chance,Ocean
Uncle John's Band,The Grateful Dead
Cuba,The Gibson Brothers
Jubilation,Paul Anka
The Language Of Love,The Intrigues
You Could Have Been A Lady,April Wine
You Keep Me Dancing,Samantha Sang
Hope That We Can Be Together Soon,Sharon Paige and Harold Melvin And The Blue Notes
Evil Woman Don't Play Your Games With Me,CROW
Play Me,Neil Diamond
Superman,Celi Bee & The Buzzy Bunch
Deja Vu,Dionne Warwick
Midnight Rider,Joe Cocker and The Chris Stainton Band
Out Of The Darkness,David Crosby/Graham Nash
Rocky II Disco,Maynard Ferguson
I'll Get Over You,Crystal Gayle
(Oh Lord Won't You Buy Me A) Mercedes Benz,Goose Creek Symphony
Guilty,Al Green
Stay The Night,The Faragher Bros.
Won't Find Better (Than Me),The New Hope
Got To Be There,Michael Jackson
The People Tree,"Sammy Davis, Jr. with The Mike Curb Congregation"
Who Is He And What Is He To You,Creative Source
Sweet Emotion,Aerosmith
A Hurricane Is Coming Tonite,Carol Douglas
Try (Try To Fall In Love),Cooker
I Received A Letter,Delbert & Glen
You've Never Been This Far Before,Conway Twitty
Smiling Faces Sometimes,The Undisputed Truth
I Been Moved,Andy Kim
Sugar Baby Love,The Rubettes
The White Knight,Cledus Maggard And The Citizen's Band
James Dean,Eagles
Shades Of Green,The Flaming Ember
I Can't Hear You No More/Music Is My Life,Helen Reddy
It's So Nice,Jackie DeShannon
"Julie, Do Ya Love Me",Bobby Sherman
I Like Your Lovin' (Do You Like Mine),The Chi-lites
Born To Be Alive,Patrick Hernandez
Games,Redeye
Sunshine,The Archies
Don't You Worry 'Bout A Thing,Stevie Wonder
Baby-Get It On,Ike & Tina Turner
Don't Do It,The Band
Whispering/Cherchez La Femme/Se Si Bon,Dr. Buzzard's Original Savannah Band
"Silly, Silly, Fool",Dusty Springfield
The Lone Ranger,Oscar Brown Jr.
Short People,Randy Newman
If You've Got The Time,The Babys
Immigration Man,Graham Nash & David Crosby
Do You Think I'm Disco?,Steve Dahl And Teenage Radiation
Time Is Movin',The Blackbyrds
I Heard The Voice Of Jesus,Turley Richards
It Keeps You Runnin',The Doobie Brothers
Don't Knock My Love,Diana Ross & Marvin Gaye
Screaming Night Hog,Steppenwolf
The Way We Were,Barbra Streisand
Disco Lady,Johnnie Taylor
Same Thing It Took,The Impressions
This Is It,Melba Moore
Train Called Freedom,South Shore Commission
Highfly,John Miles
The More You Do It (The More I Like It Done To Me),Ronnie Dyson
Silly Wasn't I,Valerie Simpson
Like An Open Door,The Fuzz
Garden Party,Rick Nelson And The Stone Canyon Band
Give Me Love - (Give Me Peace On Earth),George Harrison
You Can't Be A Beacon (if Your Light Don't Shine),Donna Fargo
Won't Get Fooled Again,The Who
Gettin' Ready For Love,Diana Ross
Don't Let Me Be Misunderstood,Santa Esmeralda Starring Leroy Gomez
Different Worlds,Maureen McGovern
Theme From The Men,Isaac Hayes
So You Are A Star,The Hudson Brothers
Open The Door (Song For Judith),Judy Collins
Love Ballad,L.T.D.
The Touch Of You,Brenda & The Tabulations
Cold As Ice,Foreigner
Farther On Down The Road,Joe Simon
So In Love,Curtis Mayfield
What'd I Say,Rare Earth
One Day Of Your Life,Andy Williams
Until You Come Back To Me (That's What I'm Gonna Do),Aretha Franklin
Young Americans,David Bowie
Does She Do It Like She Dances,Addrisi Brothers
Kate,Johnny Cash And The Tennessee Three
Mighty Mighty,"Earth, Wind & Fire"
Some Kind Of Wonderful,Grand Funk
Stay Awhile,The Bells
"Saturday Night, Sunday Morning",Thelma Houston
Let Her In,John Travolta
Brother Rapp (Part 1),James Brown
Jam Up Jelly Tight,Tommy Roe
These Eyes,Jr. Walker & The All Stars
If You Talk In Your Sleep,Elvis Presley
Dog Eat Dog,Ted Nugent
Paper Mache,Dionne Warwick
Theme From Close Encounters,Meco
Let's Go,The Cars
Liar,Three Dog Night
"Let It Go, Let It Flow",Dave Mason
Baby I've Been Missing You,The Independents
How Much I Feel,Ambrosia
Oh Me Oh My (I'm A Fool For You Baby),Lulu
Let The Song Last Forever,Dan Hill
The Jean Genie,David Bowie
Jane,Jefferson Starship
Art For Art's Sake,10cc
Movin' Out (Anthony's Song),Billy Joel
Do I Love You,Paul Anka
Hand Me Down World,The Guess Who
Feels Like The First Time,Foreigner
The Drum,Bobby Sherman
Trans-europe Express,Kraftwerk
Love Hangover,The 5th Dimension
Everybody's Out Of Town,B.J. Thomas
"Another Park, Another Sunday",The Doobie Brothers
It's A Heartache,Juice Newton
I Gotta Let You Go,Martha Reeves & The Vandellas
Can't Change My Heart,Cate Bros.
Livin' It Up (Friday Night),Bell & James
I Can't Get Next To You,Al Green
One Hell Of A Woman,Mac Davis
Rock Me Gently,Andy Kim
I Want You Tonight,Pablo Cruise
Makes You Blind,The Glitter Band
Boogie Woogie Bugle Boy,Bette Midler
Captain Howdy,Simon Stokes
C.b. Savage,Rod Hart
With Pen In Hand,Bobby Goldsboro
You're So Vain,Carly Simon
Blue Suede Shoes,Johnny Rivers
A Little Bit Like Magic,King Harvest
Keep Playin' That Rock 'N' Roll,Edgar Winter's White Trash
Giving Up,Donny Hathaway
Closer To The Heart,Rush
Baby Don't Change Your Mind,Gladys Knight And The Pips
Going In With My Eyes Open,David Soul
What Cha Gonna Do With My Lovin',Stephanie Mills
Super Fly Meets Shaft,John & Ernest
Time For Livin',Sly & The Family Stone
The Love We Had (Stays On My Mind),The Dells
I Can't Leave You Alone,George McCrae
Brooklyn,Cody Jameson
Ain't No Love In The Heart Of The City,Bobby Bland
(I'd Know You) Anywhere,Ashford & Simpson
Since You Been Gone,Rainbow
The Funky Gibbon,The Goodies
Give It To Me,The J. Geils Band
Little Bit Of Soap,Nigel Olsson
Indian Love Call,Ray Stevens
Walk Right In,Dr. Hook
Never Had A Love,Pablo Cruise
"Ruby, Baby","Billy ""Crash"" Craddock"
Do What You Wanna Do,Five Flights Up
Dead Skunk,Loudon Wainwright III
Midnight Light,LeBlanc & Carr
Everything's Coming Up Love,David Ruffin
Fooled Around And Fell In Love,Elvin Bishop
Heaven Knows,The Grass Roots
Fly Little White Dove Fly,The Bells
Woman Tonight,America
Glasshouse,The Temptations
One Piece At A Time,Johnny Cash And The Tennessee Three
Listen Here,Brian Auger & The Trinity
Mary's Boy Child / Oh My Lord,Boney M
Wholesale Love,Buddy Miles
Swingtown,The Steve Miller Band
Shake And Dance With Me,ConFunkShun
Hot Pants,Salvage
Dream Merchant,New Birth
You Don't Bring Me Flowers,Barbra Streisand & Neil Diamond
Make It Funky (Part 1),James Brown
Reconsider Me,Narvel Felts
After The Goldrush,Prelude
Some Of Shelly's Blues,Nitty Gritty Dirt Band
Do You Wanna Dance,Ramones
Will It Go Round In Circles,Billy Preston
Down In The Alley,Ronnie Hawkins
Bless The Beasts And Children,Barry DeVorzon And Perry Botikin Jr.
Delta Dirt,Larry Gatlin
Dreaming,Blondie
Six White Horses,Tommy Cash
One Last Time,Glen Campbell
Kid Charlemagne,Steely Dan
Let There Be Music,Orleans
Feels So Good,Chuck Mangione
Fly By Night/In The Mood,Rush
"Cuz It's You, Girl",James Walsh Gypsy Band
Frederick,Patti Smith Group
Ready Or Not,Helen Reddy
Minute By Minute,The Doobie Brothers
Spirit In The Dark,Aretha Franklin with The Dixie Flyers
Love Will Keep Us Together,Captain & Tennille
I Like Dreamin',Kenny Nolan
One Tin Soldier,The Original Caste
Under My Wheels,Alice Cooper
Check Out Your Mind,The Impressions
Spill The Wine,Eric Burdon And War
Ain't Love A Bitch,Rod Stewart
The Last Farewell,Roger Whittaker
Baby I Love You,Little Milton
Girl Of My Dreams,Bram Tchaikovsky
Venus,The Shocking Blue
Moon Walk Part 1,Joe Simon
You're The One That I Want,John Travolta & Olivia Newton-John
The Night Chicago Died,Paper Lace
Holdin' On To Yesterday,Ambrosia
Stop To Start,Blue Magic
The Bitch Is Back,Elton John
Behind Blue Eyes,The Who
Rattlesnake,Ohio Players
Heaven On Earth (So Fine),The Spinners
Love Makes The World Go Round,Odds & Ends
The Power Of Gold,Dan Fogelberg/Tim Weisberg
Hush/I'm Alive,Blue Swede
Victim Of A Foolish Heart,Bettye Swann
I'm So Lonesome I Could Cry,Terry Bradshaw
Don't Want To Live Without It,Pablo Cruise
Respect Yourself,The Staple Singers
Midnight Cowboy,Ferrante & Teicher
Flowers,The Emotions
This Masquerade,George Benson
"Love Theme From ""The Godfather"" (Speak Softly Love)",Andy Williams
Someone Who Cares,Kenny Rogers & The First Edition
This Girl (Has Turned Into A Woman),Mary Macgregor
Married Men,Bette Midler
A Part Of You,Brenda & The Tabulations
Oye Como Va,Santana
Sweet Feeling,Candi Staton
I Want To Take You Higher,Ike & Tina Turner & The Ikettes
Roberta,Bones
If You Go Away,Terry Jacks
Point It Out,Smokey Robinson & The Miracles
Mexico,James Taylor
Dreamboat Annie,Heart
Brick House,Commodores
Amazing Grace,Judy Collins
Tarkio Road,Brewer And Shipley
Come And Get It,Badfinger
Your Own Special Way,Genesis
Needles And Pins,Smokie
Travelin' Prayer,Billy Joel
The Biggest Parakeets In Town,Jud Strunk
You're Just The Right Size,The Salsoul Orchestra
Dream Me Home,Mac Davis
Rock And Roll,Led Zeppelin
Down To The Station,B.W. Stevenson
Here Comes The Night,Nick Gilder
In The Midnight Hour,Samantha Sang
Clap For The Wolfman,The Guess Who
Once You Understand,Think
Wake Up And Be Somebody,Brainstorm
"Yank Me, Crank Me",Ted Nugent
That's Rock 'N' Roll,Shaun Cassidy
Bridge Over Troubled Water/Brand New Me,Aretha Franklin
Got To Be Real,Cheryl Lynn
So In To You,Atlanta Rhythm Section
Never My Love,The 5th Dimension
Don't Take Your Love,The Manhattans
Song On The Radio,Al Stewart
A Change Is Gonna Come & People Gotta Be Free/The Declaration,The 5th Dimension
Vaya Con Dios,Freddy Fender
It's All I Can Do,The Cars
Shoot Me (With Your Love),Tasha Thomas
Love Me,Yvonne Elliman
It's A Long Way There,Little River Band
In The Summertime,Mungo Jerry
Dreamin,Loleatta Holloway
I'll Be Your Everything,Percy Sledge
Rubber Bullets,10cc
Too Hot Ta Trot,Commodores
Gone Long Gone,Chicago
"Lovin', Touchin', Squeezin'",Journey
Wonderful Tonight,Eric Clapton
I Do Take You,The Three Degrees
Might Just Take Your Life,Deep Purple
I've Got So Much To Give,Barry White
Amazing Grace (used To Be Her Favorite Song),Amazing Rhythm Aces
If I Were A Carpenter...,Leon Russell
No Matter What,Badfinger
Separate Ways,Elvis Presley
Mr. President,Dickie Goodman
Keep On Singing,Austin Roberts
Pepper Box,The Peppers
Keep On Tryin',Poco
The Entertainer,Billy Joel
"Love, Love, Love",Donny Hathaway
I Believe You,Dorothy Moore
Victoria,The Kinks
Hello Stranger,Yvonne Elliman
Together Alone,Melanie
Then Came You,Dionne Warwicke & Spinners
Love Is What You Make It,The Grass Roots
Chains And Things,B.B. King
Hearts Of Stone,The Blue Ridge Rangers
Cecilia,Simon & Garfunkel
I Can See Clearly Now,Johnny Nash
Queen Of Clubs,KC And The Sunshine Band
"Main Title (Theme From ""Jaws"")","John Williams/""Jaws"" Soundtrack"
The Way I Feel Tonight,Bay City Rollers
Light My Fire/137 Disco Heaven,Amii Stewart
Don't Do Me Like That,Tom Petty And The Heartbreakers
You Brought The Woman Out Of Me,Hot
Stumblin' In,Suzi Quatro & Chris Norman
The Logical Song,Supertramp
If I Never Knew Your Name,Vic Dana
I'm Just A Singer (In A Rock And Roll Band),The Moody Blues
I Go To Pieces,"Cotton, Lloyd & Christian"
He's So Fine,Kristy And Jimmy McNichol
Silly Milly,Blue Swede
The Right Thing To Do,Carly Simon
Time Waits For No One,The Friends Of Distinction
Don't Wanna Live Inside Myself,Bee Gees
Those Were The Days,Carroll O'Connor And Jean Stapleton (As The Bunkers)
Run To Me,Bee Gees
ABC,Jackson 5
Words (are Impossible),Margie Joseph
Love Land,Charles Wright And The Watts 103rd Street Rhythm Band
Salsoul Hustle,The Salsoul Orchestra
Livin' For You,Al Green
Follow Your Daughter Home,The Guess Who
Who Listens To The Radio,The Sports
I'm On My Way,Captain & Tennille
Teenage Lament '74,Alice Cooper
What My Baby Needs Now Is A Little More Lovin',James Brown-Lyn Collins
Lay A Little Lovin' On Me,Robin McNamara
Chuck E.'s In Love,Rickie Lee Jones
Take It Off Him And Put It On Me,Clarence Carter
(If You Let Me Make Love To You Then) Why Can't I Touch You?,Ronnie Dyson
What Are You Doing Sunday,Dawn Featuring Tony Orlando
If You Gotta Break Another Heart,Albert Hammond
Co-Co,The Sweet
Found A Cure,Ashford & Simpson
"Blue Morning, Blue Day",Foreigner
I Need Your Help Barry Manilow,Ray Stevens
People Of The South Wind,Kansas
Are You Ready?,Pacific Gas And Electric
Brand New Key,Melanie
"Baby, I'm Yours",Jody Miller
Ghetto Woman,B.B. King
Don't Let It Show,The Alan Parsons Project
I've Gotta Make You Love Me,Steam
Queen Of My Soul,Average White Band
#9 Dream,John Lennon
You Make Me Feel Like Dancing,Leo Sayer
The End Is Not In Sight (the Cowboy Tune),Amazing Rhythm Aces
Birds Of A Feather,The Raiders
Emotion,Samantha Sang
Give Your Baby A Standing Ovation,The Dells
I Wanna Get Next To You,Rose Royce
Bridget The Midget (The Queen Of The Blues),Ray Stevens
Spirit In The Night,Manfred Mann's Earth Band
Abra-Ca-Dabra,The De Franco Family
Hard Luck Woman,KISS
You Are On My Mind,Chicago
Brandy,The O'Jays
Why Leave Us Alone,Five Special
Roller-Skatin' Mate (Part I),Peaches & Herb
"Vincent (Starry, Starry Night)/Castles In The Air",Don McLean
Fifteen Years Ago,Conway Twitty
Wonderful,Isaac Hayes
Hijackin' Love,Johnnie Taylor (The Soul Philosopher)
Ain't Gonna Bump No More (with No Big Fat Woman),Joe Tex
"Do It, Fluid",The Blackbyrds
A Little Bit Of Soap,Paul Davis
Don't Stop Now/Since I Don't Have You,Eddie Holman
She Didn't Do Magic/I'm The Only One,Lobo
Sixteen Tons,The Don Harrison Band
Time And Love,Barbra Streisand
The Circle Is Small (I Can See It In Your Eyes),Gordon Lightfoot
Dirty White Boy,Foreigner
Drowning In The Sea Of Love,Joe Simon
Harry Hippie,Bobby Womack & Peace
Ghetto Child,The Spinners
Let It Shine/He Ain't Heavy...He's My Brother,Olivia Newton-John
Seems Like I Gotta Do Wrong,The Whispers
Hummingbird,B.B. King
Sadie,The Spinners
You Just Can't Win (By Making The Same Mistake),Gene & Jerry
What Is Hip?,Tower Of Power
Angelica,Oliver
"Oh, Singer",Jeannie C. Riley
If You Want Me To Stay,Sly & The Family Stone
She's Always A Woman,Billy Joel
Ha Cha Cha (funktion),Brass Construction
Put Your Head On My Shoulder,Leif Garrett
"Hey, Little Girl",Foster Sylvers
Days Gone Down (Still Got The Light In Your Eyes),Gerry Rafferty
Hold On,Triumph
It Must Be Love,Alton McClain & Destiny
One Light Two Lights,The Satisfactions
Don't Turn The Light Out,Cliff Richard
If My Heart Could Speak,The Manhattans
After Midnight,Eric Clapton
Someone Saved My Life Tonight,Elton John
Brandy (You're A Fine Girl),Looking Glass
Sweet Caroline (Good Times Never Seemed So Good),Bobby Womack & Peace
The Most Beautiful Girl,Charlie Rich
Make It With You,The Whispers
If It's All Right With You,Dottie West
1984,Spirit
Young Blood,Rickie Lee Jones
Nobody,The Doobie Brothers
Fancy Dancer,Frankie Valli
Where Did All The Good Times Go,Dennis Yost And The Classics IV
I Don't Know Why,The Rolling Stones
Sweet Hitch-Hiker,Creedence Clearwater Revival
Every Time You Touch Me (I Get High),Charlie Rich
Lay Down Sally,Eric Clapton
Walk Right Up To The Sun,The Delfonics
Mean Mistreater,Grand Funk Railroad
Break Away,Art Garfunkel
Can't Sleep,Rockets
Raindrops Keep Fallin' On My Head,B.J. Thomas
Don't Tell Me Goodnight,Lobo
Pow Wow,Cory Daye
What Is Truth,Johnny Cash
Part Time Love,Ann Peebles
Sad Eyes,Robert John
Cry Me A River,Joe Cocker
Daytime Friends,Kenny Rogers
Heart To Heart,Errol Sober
Until It's Time For You To Go,Elvis Presley
Wait For Me,Daryl Hall John Oates
It's Cool,The Tymes
Damned If I Do,The Alan Parsons Project
Look What You Done For Me,Al Green
I'll Be Your Shelter (In Time Of Storm),Luther Ingram
Heart Of Gold,Neil Young
Once You Get Started,Rufus Featuring Chaka Khan
The Free Electric Band,Albert Hammond
Smoke On The Water,Deep Purple
Country Boy (You Got Your Feet In L.A.),Glen Campbell
You Were Made For Me,Luther Ingram
Love Rollercoaster,Ohio Players
Getting Closer,Wings
Gotta Hold On To This Feeling,Jr. Walker & The All Stars
Thanks For Saving My Life,Billy Paul
Temptation Eyes,The Grass Roots
If,Bread
Never Let Her Slip Away,Andrew Gold
Lucifer,Bob Seger System
My Boy,Elvis Presley
Rock Me Baby,David Cassidy
Darlin',Paul Davis Feat. Susan Collins
The Rubberband Man,The Spinners
"Take Me Home, Country Roads",John Denver
So Hard Livin' Without You,Airwaves
I'm Stone In Love With You,The Stylistics
Holy Man,Diane Kolby
After The Fire Is Gone,Conway Twitty & Loretta Lynn
Rock And Roll Music,The Beach Boys
A World Without Music,Archie Bell & The Drells
Evil,"Earth, Wind & Fire"
Question,The Moody Blues
Where Did Our Love Go,The J. Geils Band
Stay,Rufus/Chaka Khan
Isn't Life Strange,The Moody Blues
"If It Feels Good, Do It",Ian Lloyd & Stories
To The Door Of The Sun (Alle Porte Del Sole),Al Martino
Let's Do It Again,The Staple Singers
Reach Out And Touch (Somebody's Hand),Diana Ross
Cinnamon Girl,The Gentrys
It's Late,Queen
Chiquitita,ABBA
"9,999,999 Tears",Dickey Lee
"Hey, St. Peter",Flash And The Pan
Some Beautiful,Jack Wild
You Are The One,Sugar Bears
Dear Prudence,The 5 Stairsteps
