Der Kommissar,After The Fire,spotify:track:0OCoPwxoxtmhwTzUCpilQc
A Venture - 2003 Remaster,Yes,spotify:track:0lEEA6MzI2sCYZsqIOjmc9
Student Demonstration Time - Remastered 2009,The Beach Boys,spotify:track:44GnS6uxk2fISvGnME2XPT
Here She Comes - Remastered 2000,The Beach Boys,spotify:track:0nYy99TKeqt8T2LdSWzFHN
Midnight Runaway,Three Dog Night,spotify:track:7s0kGNpk4uAGshq7DRIMlb
Trying To Get Away - Remastered 2002,Grand Funk Railroad,spotify:track:1CNjZEJPW8qugmKUNAve7K
Trouble Man,Marvin Gaye,spotify:track:15pYj5ZiUJgBydzD7w6NbJ
Man from the Past,Tower Of Power,spotify:track:3wNKXzNYN7tJR8SqMJziQx
Gate of Horn,Roger McGuinn,spotify:track:0g2kQeI0ZRRzKjoKgMyJJU
The Payback,James Brown,spotify:track:5OcyX5eg7VrJuI833qOCUc
Too Rolling Stoned - 2007 Remaster,Robin Trower,spotify:track:0GuID7WlXesl3ITZwJZbLE
Free Man in Paris,Joni Mitchell,spotify:track:2by5mqpQ1ZP2G5FOIccMnu
Alabama - 2009 Remaster,Neil Young,spotify:track:6PVa4pTYFPv2Sew9wLoyrz
Diamond Girl,Seals and Crofts,spotify:track:7CQQBWqFfROA5RWyY04ifv
Road Fever,Blackfoot,spotify:track:0E5GQJPvKvp2XEcwSLyROD
Black Right,Keith Hudson,spotify:track:5m4N6gvtmx1lz5pVyia7rz
Sun Oh Son,War,spotify:track:5SlEnCVFNwnVO3h7ws86Bz
Street Kids,Elton John,spotify:track:2gjLi2PuS3jBmaLF1JOqKb
Angry Eyes - Single Version,Loggins & Messina,spotify:track:1zM8E87IuR1CN968LCnNeQ
Money Money - 2013 Remaster,Grateful Dead,spotify:track:2byjvCffZ8o5p6LHYlZIfd
Pitter Patter - Remastered 2000,The Beach Boys,spotify:track:6NYKusEB6NQBM214DxiO7t
Things & Do,The J.B.'s,spotify:track:6EugKjSpv2zu8lReWVwjGt
Bleeding,Todd Rundgren,spotify:track:0DXel1zfvChkgNaZURfZMK
Green Grass,Bill Withers,spotify:track:5kZ1Rmx0Z5Vr6hO9pM1mBF
Big Barn Bed - 2018 Remaster,Wings,spotify:track:72beyhOl7fMGrkVNzM7mXN
L.A. Goodbye - Remastered Version,The Ides Of March,spotify:track:5sVXeQxxtGZHrUYLzDkbYd
Old Days - 2002 Remaster,Chicago,spotify:track:6KpLEkhkg0FR4J9x0fbIRP
I'm All Right,Keith Hudson,spotify:track:2PtZ5GAVyafLqjZsHNd0o7
Try Again,Tranquility,spotify:track:0AFzkt1h3ClDuoCJOhCHah
Another Night - 2008 Remaster,The Hollies,spotify:track:6XGpXFd88No06yOO68g3lN
Don't Go To Strangers,J.J. Cale,spotify:track:5qZKuuKGngifO5psg19XdO
Had To Phone Ya - Remastered 2000,The Beach Boys,spotify:track:1mHimtxZJCPt9UvHlzyYR4
You're Still My Woman,B.B. King,spotify:track:3DbVBS8JojEGfuLOZRGgWX
Pretty as You Feel - Single Edit,Jefferson Airplane,spotify:track:04tgOx1EJSNhRZg3G4wIrH
South Side of the Sky - 2008 Remaster,Yes,spotify:track:5IAcmHktMIqXEDm1BLsEcG
Garden Party,Ricky Nelson,spotify:track:7J5tyfg3OYVNR97KH66ovw
Go All The Way,Raspberries,spotify:track:75GQIYnRaBg7ndHxhfYuQy
It's a Sin to Go Away,We All Together,spotify:track:2BqgEXbJs34IyBmGj5kS1c
Go Back Home,Stephen Stills,spotify:track:0iSBeKGfZPnbEacqYFmxw6
I Can't Quit Her,Al Kooper,spotify:track:58clk1u8Q2fXqnevJ1xibu
Shouldn't Have Took More Than You Gave,Dave Mason,spotify:track:6K80s57RpCXTkrxxXmBpdF
Suite for 20 G,James Taylor,spotify:track:0cvw4MBjrmKdbVjgDuRdMb
World on a String - 2016 Remaster,Neil Young,spotify:track:1Y5B1TggbMqAOyauUOl2nT
Bastille Day,Rush,spotify:track:2fsFnXtYfu3xkz9QXj1pZs
Got to Find Another Way,Alamo,spotify:track:6ROEZBSSQPBs0sdjUeMHZd
Don't Keep Me Wonderin',The Allman Brothers Band,spotify:track:36k0iZTepBLOlQvr24dbVe
Supernaut - 2014 Remaster,Black Sabbath,spotify:track:1fJTWLZHIAwPdGoBzEYnhp
Superfly,Curtis Mayfield,spotify:track:2PemGQvxBjEwmrfwVtvTkX
Hot Fun in the Summertime,Sly & The Family Stone,spotify:track:4t6NQkpUmvpvLDCkl3XuwA
If You Wanna Get To Heaven,The Ozark Mountain Daredevils,spotify:track:2CFtB64mDu2XCFjvGJhc9k
West Coast Woman,Painter,spotify:track:1tXqf5S0T73nNr6HQxdV8o
I Got My Eyes On You,Peter Frampton,spotify:track:3Tj9EYw1b7kdbg8TkNdarD
Never Let Em Say,Ballin' Jack,spotify:track:1uzIuxz5NoZEVmnjWdLyek
Lady,"Beck, Bogert, Appice",spotify:track:6Pyr3DqDxXnoP1mZBzb2JY
Drivin' Wheel,Foghat,spotify:track:330EfGkhYhSake0MY2SOiA
When You Dance I Can Really Love - 2009 Remaster,Neil Young,spotify:track:7kB64jHL9hdOvlxsaf03R7
Domino - 1999 Remaster,Van Morrison,spotify:track:0eti3iRdEgUxwcIcN2N9DY
Fancy Dancer,Bread,spotify:track:53k8M8tfRLZd4h0snn0JOf
Hang Loose,Mandrill,spotify:track:6p7KEJStN2J1EpsT3hZVqH
Tell It to My Face,Bloodstone,spotify:track:6MwDeTYQkcSH5ZNfOlZdhT
Give and Take,Santana,spotify:track:3UPFgKojRDeqLoMz5bL5yr
The Bomber A: Closet Queen B: Bolero C: Cast Your Fate To The Wind,James Gang,spotify:track:5A3ZtOkIeZCGTvMcRpjUrf
Sharpshooter,Motörhead,spotify:track:2tYhZWNBZFtRQfxKJytyM1
Got the Love,Average White Band,spotify:track:49xbaoJxUkZTjkvJQX3nPJ
Hummingbird,Seals and Crofts,spotify:track:73p4o0a14AOyK4SMQmQUgU
Mama Frog,Ambrosia,spotify:track:0vu4SByykkAkElr5DMebCY
Los Angelenos,Billy Joel,spotify:track:0phjwOr5GM0hea7Ju5IDtN
I Was a Fool to Care,James Taylor,spotify:track:0wQd2c3D64Woz5JXed4JVX
In A Hand Or A Face,The Who,spotify:track:5icKMYpKEkfrT3J27SH7Vz
Creole,The Crusaders,spotify:track:0mz21T67WcrJLEs7ZGKMll
Get The Funk Out Ma Face,The Brothers Johnson,spotify:track:00PLtXXER1XcTRZvs3LioS
Unfunky UFO,Parliament,spotify:track:6jO8FdgfPLjcesTmRpFCPX
I Got the Fire,Montrose,spotify:track:6neQcVJ7GjpbhnaTacsoxS
Is It a Star,Daryl Hall & John Oates,spotify:track:3JtmKRoCBogkIn6P79Qq7n
Joy (Takes Over Me),Stevie Wonder,spotify:track:0bsZJm25j6lDbCqM7XWv8u
Speed King,Deep Purple,spotify:track:4DsHoG4nyiUwsbx1lCF2lX
Tighter - 1970 Version,Paul Revere & The Raiders,spotify:track:4ywPhOvUDYLhVnRktaOrdk
Coconut,Harry Nilsson,spotify:track:4o5GyaeGMgDsrclBsL3au7
Ain't Wastin' Time No More,The Allman Brothers Band,spotify:track:4euYSSvpQZSAQ4gThyL2QD
The Rocker,Thin Lizzy,spotify:track:2qRF6tYwmXy6oMUSI4bKQA
Brother Louie,Stories,spotify:track:5kbSslE6zBMZnULSrE4SdZ
Don't You Think This Outlaw Bit's Done Got out of Hand,Waylon Jennings,spotify:track:79M1EMwuUACX8hYUwX1uv1
A Mile High In Denver,Jimmy Buffett,spotify:track:4XU2iwghKFaxrJ65Pu7exV
Long Flowing Robe,Todd Rundgren,spotify:track:4mI07NwEF4VLYrQ9VVXUdg
Get Into the Wind,Steppenwolf,spotify:track:3ywGNMIKiiyVWBgaZZZxSG
Kalimba Story,"Earth, Wind & Fire",spotify:track:1s52byVjQbhfNgnQSviZVa
Thousand Feet Bellow You,Golden Earring,spotify:track:2pTkPyPrVCqv7EbdRyEvA1
Ain't No Love In The Heart Of The City - Single Version,"Bobby ""Blue"" Bland",spotify:track:4qYHnP5AmKzXbJhciPV8si
Barbara's Mood,Black Heat,spotify:track:5EjqDxM0N2GxpMHElwXwei
Mother Earth,Kool & The Gang,spotify:track:5YSFqWk6qdZVGw7GLDvSda
Loran's Dance,Idris Muhammad,spotify:track:21MdP1zGqerRKUmfvsoWQJ
Ain't No Good Life,Lynyrd Skynyrd,spotify:track:7r8aDZgFaFSZqCb59s9oyl
Freefall,Camel,spotify:track:5mp2gqf8tLqLYwrCwh5r9C
Jungle Jazz,Kool & The Gang,spotify:track:4IZQ5wYvoUD1xvJsqNo3vg
Watermelon Man,Herbie Hancock,spotify:track:2zQl59dZMzwhrmeSBEgiXY
Hazard Profile Part 1,Soft Machine,spotify:track:7J2kYMUtOIzKU9Tpd6YDYX
Funeral For A Friend / Love Lies Bleeding - Remastered 2014,Elton John,spotify:track:3JNgpaqUdpozbCnbPOMqPQ
I'll Be Around,The Spinners,spotify:track:2vLaES21zwbX1Rnmj56Bbb
Dove,Cymande,spotify:track:3zx0EU8Yk5b6Qx1wXgcDXE
Talking To The People,Black Nasty,spotify:track:6XEjM6TGUqdEwkfJwlevtq
Trespassing,Skull Snaps,spotify:track:3UOrT8Ia5vPPiadZJ7NcJZ
Polecat Woman,Three Man Army,spotify:track:06NyGnkmqXoHRPT8QAW0AX
Can't Live My Life,Crabby Appleton,spotify:track:62DmgMHhV4NOzwU5Z7Elnu
Money Slave,Edge,spotify:track:4xVjF1RTrEGTEDwaAuGqPN
Doctor Tom,Freedom North,spotify:track:2j70lYcpewzTwCv7rc3o33
Uncle Salty,Aerosmith,spotify:track:3XW2c507flCMzqd7Woc2mr
"Ain't No Time, Pt. 2",The Kay Gees,spotify:track:13HYe7QySrKmVrktJIioYM
Time Out,Joe Walsh,spotify:track:0VezDmUV7Vkpo0aLUu4jqJ
Sunshine Man,Earthquire,spotify:track:7a4ASYd6OtPdQ2szKRcVuc
Wild Safari,Barrabas,spotify:track:36ycUqCc7NkKT1hWanjFUx
Sadie Mae,Bloodstone,spotify:track:5abqT22A1F7TEWlD6YxJrS
For Her Time,The Brotherhood,spotify:track:2Ufom8J8EnbCUD1ZPRFNRm
Dancing Madly Backwards (On A Sea Of Air),Captain Beyond,spotify:track:7D82mKbfYp34KzY7BrIfGH
Back Stabbers,The O'Jays,spotify:track:0KpMY3D2G8253VTZbDBUmA
Cool It Down - 2015 Remastered,The Velvet Underground,spotify:track:4Hh6Q9GhhE8DeON2iUtYMT
Tamalpais High (At About 3),David Crosby,spotify:track:5DKCrbivQkzlCifKgGi2Ox
Leaving This Town - Remastered 2000,The Beach Boys,spotify:track:6AFHZftM2TZOBkBN7QzOAN
Rocking Man - 2013 Remaster,Budgie,spotify:track:7gS1v88hn7iyBAEoINH4EH
The Purple Speed Queen,Curved Air,spotify:track:4nNzAYu0NeAk2OhD7CYZeE
We Need Order,The Chi-Lites,spotify:track:6VXYuzCoFQALL83BOk12q6
Let Me Be Your Car,Rod Stewart,spotify:track:634gk7hAnQPgVz5ZAUfJO7
Star Baby - 2003 Remastered,The Guess Who,spotify:track:2NasImtBsH9UkMXCsDUabr
Old Slippers,George Duke,spotify:track:0ddy8dlXPKKWohg979G7CZ
How Long,Ace,spotify:track:4AjKVyNUMdUveKK5OH1OJD
Just Kissed My Baby,The Meters,spotify:track:1TB0dZqFRQsnf4fLLLRKQV
Revolution Blues - 2016 Remaster,Neil Young,spotify:track:6LRdLK9wkLVuygeBe1kAZY
Sister Golden Hair,America,spotify:track:5VSAonaAPhhGn0G7hMYwWK
She Don't Know Why I'm Here,The Last,spotify:track:7nOlJ08XbuWIfRArCnZZCJ
52 Girls,The B-52's,spotify:track:0hV8cbzJubHKLSFIsBnYUo
Machine Gun Etiquette,The Damned,spotify:track:48GOwbKFjgc5zww69hALGV
You Tell Me,Tom Petty and the Heartbreakers,spotify:track:7BMlJ9q7aU3m8wFIUzhARZ
Dark Horse,George Harrison,spotify:track:14zj5jZTzV1MN8pQAR730z
Right Down the Line,Gerry Rafferty,spotify:track:2Xb6wJYGi0QXwURw5WWvI5
Cold Cold Change - Remastered Version,Midnight Oil,spotify:track:12SB24y2fVMeHCKIeR9wlz
Warrior,Riot,spotify:track:2hjSAUUKbVCN5Zq2FbvV2w
Can't Take It With You,The Allman Brothers Band,spotify:track:2DJz0x5rfvzjOcmcVyvgM8
Golden Years - 2016 Remaster,David Bowie,spotify:track:4JRem7xHp2l0kmUvt9zCKu
No Quarter - 2012 Remaster,Led Zeppelin,spotify:track:0GRBFjza23Im7Xb16c9AaK
Is That Enough,Marvin Gaye,spotify:track:3yYVJTOQWoTiGvFSSYoMpZ
Showdown,Thin Lizzy,spotify:track:7kSPVqnvUenYmuROkZzPhI
Cannot Find a Way,Curtis Mayfield,spotify:track:2psE6kv2sPpgcnMPpg8i6G
It's Only Love,ZZ Top,spotify:track:4gY07XF01nlzHuPNlMFnBe
Black Friday,Steely Dan,spotify:track:1kn4dN91ha8qZS3pPYqjug
Smiling Faces Sometimes,The Undisputed Truth,spotify:track:5Vdg4tP25ffeGEC5GGmCwm
Running out of Time,Climax Blues Band,spotify:track:2cal7B1IEuIaHGCDlgnQXJ
Death by Misadventure,Ted Nugent,spotify:track:5KNjqSkOJWQZCuHTst80yG
Baby Face,Lou Reed,spotify:track:4Cw6CyBnbDKTxgQei3PBJZ
The Storm: Epicycle and Rebirth,Lacewing,spotify:track:0GOQumfq0DnCHqAGSwBa39
Keep On Keepin' On,Nolan Porter,spotify:track:5mhcCfNBmbTTMNZcq1hIbP
Too Much Ain't Enough,Tom Petty and the Heartbreakers,spotify:track:1Bg3YHRCtFvSzjQWd6NbvG
Three More Days,The Guess Who,spotify:track:4eNxWeqFpWFyjrIOoMrx9q
When You're In - 2011 Remastered Version,Pink Floyd,spotify:track:0UxxY98nZg9D3TDc4MvF1W
Legalize It,Peter Tosh,spotify:track:73lYI49LhfsscO33ohrGN0
Buick McCane,T. Rex,spotify:track:79cfk2moyMXtTGZr4N9sWi
Woman To Woman,Joe Cocker,spotify:track:0K3Dem9aRwRG9DVo0W2T3o
Here We Come,Brick,spotify:track:4NXxreUDxPT6jcViTi7hRA
Juke Box Mama,Link Wray,spotify:track:5vOMYygGYn0OvLfGdrH6iE
Grandma's Hands,Bill Withers,spotify:track:1qfDfZAvrkSAFrAR2FTQDv
Home Is Where the Hatred Is,Gil Scott-Heron,spotify:track:3yZfH82ijiYuMBpYcDJo5I
Brave & Strong - Single Version,Sly & The Family Stone,spotify:track:5KF0EK4CXSyX9XBNQXw6kJ
Luv N' Haight - Single Version,Sly & The Family Stone,spotify:track:4Phj7Zce9seBEAaqiyK12r
Cherry Red - 2003 Remastered Version,The Groundhogs,spotify:track:7DwZDNVo6dlnpEh9UxyFGw
Oh Louisiana,Chuck Berry,spotify:track:0j4srnVsqW8qXpZ5zlwzoI
True Life Hero,Klaatu,spotify:track:2hP7W8dpOGwVlL8GEfsfEN
Spill The Wine,Eric Burdon,spotify:track:6OY5zJoMvk7XUyJbr0XZ5M
Headline Hustler,10cc,spotify:track:6fOZoB9VrPv1jGvURpQKQi
Azteca,Azteca,spotify:track:5HWQtI8omm5w4h5E5uMa06
Blind Faith,Stealers Wheel,spotify:track:3wd2PU7YfnFZA8AF1FwRhM
Highway of Love,Ticket,spotify:track:2zGO6LNf8SpdN3qSf1t7xg
Can't Sit Still,Ramatam,spotify:track:44Pjx0ggrMTvSK5SG7aZBR
Love Story,Stack Waddy,spotify:track:7GlkeFqbbBdE8A981CQFbW
Time Trial,Mike Vickers,spotify:track:02MqrSyzdMltcDB5SJSAVV
Ain't No Blues,Mu,spotify:track:6W2wW0909LcHUERGW0H8Vv
Bed & Breakfast,Murray Head,spotify:track:2EezZrct9l2dp1Jj6SGE2D
Valdez In The Country,The Nite-Liters,spotify:track:7HpQprMCzk0gXADcdwcofF
Do It To Me,Macondo,spotify:track:5rkQkc6ytbVz6FzlJIbyC5
Run Run Run,Jo Jo Gunne,spotify:track:3pHx8jI1ZBVYcMG2QCZaKG
You've Got to Rap,Crystalaugur,spotify:track:5hiuwvX4RzPXpjrvG3rwep
Shoot Out At The Fantasy Factory,Traffic,spotify:track:6waIDGD8KburJSTvbbtmr7
Get Yo' Feet Back on the Ground,Tower Of Power,spotify:track:5CVQPIdrMyLLIeo6xCHOyJ
Stone Cold Crazy,Queen,spotify:track:1hIosqffluXyhXPYDI7Mik
Pick Up and Run,Anonymous ,spotify:track:6QEioFCr8UKxfiC849gC7Q
Saturday Night,Bay City Rollers,spotify:track:4tu8oLJ43ZSD4QBYzfqjV9
Look Good In Blue - 2001 Digital Remaster,Blondie,spotify:track:7DQ8V8n88n3f48BxJvG4I8
Isis,Bob Dylan,spotify:track:5j216bw8PG0EcIdfu92k4l
Come Inside,Commodores,spotify:track:4Ko2BFkc8cpNgGTggK9NIv
Couldn't I Just Tell You,Todd Rundgren,spotify:track:02jZSvPG0SNsBwj6g9yRCo
S.O.S. (Too Bad),Aerosmith,spotify:track:02mweGWS7tgRTJa4sn8jI4
Super Cool,Black Heat,spotify:track:1rZSJcYII5HWpSPxYgmmXV
Super,NEU!,spotify:track:0sv1y5cLrQtL7rlcYVm3qu
On The Hunt,Lynyrd Skynyrd,spotify:track:2e6qroe20tHfu8aTQSTglt
Don't Interrupt the Sorrow,Joni Mitchell,spotify:track:3r0Tk9ibA2KT1KiLGIuKXA
Say You Love Me - 2017 Remaster,Fleetwood Mac,spotify:track:4xmxQlwx8KMBK56zIn0Y8B
Jennie Lee,Shuggie Otis,spotify:track:3zbWu0mY4d8QyTkPkz9Gvi
This Time,Waylon Jennings,spotify:track:4VFlcr3HKPO0roG0Q7hfqI
World Keeps Going Around - Live,Bill Withers,spotify:track:3wrplbWL52Ow8bqSua7ACb
Dominance and Submission,Blue Öyster Cult,spotify:track:4cOqjEZyN13voCKivT0ae2
Azeta - Remastered,Lafayette Afro Rock Band,spotify:track:2qccV297PK9oyOeumNc4hH
I'll Be Running,Molly Hatchet,spotify:track:0CB2MVauayvnANckkLMf9B
"Love, Love, Love, Love, Love",Pacific Gas & Electric,spotify:track:4nk4MLqzXIWgPjYiEC6yda
Green-Eyed Lady,Sugarloaf,spotify:track:7hSUu4sYIGTcWp6ZjqSjFo
Everybody Loves The Sunshine,Roy Ayers Ubiquity,spotify:track:3oJrgZ6BAfyBjURlAisTuA
Devil's Workshop,B.T. Express,spotify:track:6oG0aRU9YqKUZMoa6wkr1j
Midnight Blue,Dennis Coffey,spotify:track:2NGJPCkt4npuMjcLdruMDM
Love Having You Around,Stevie Wonder,spotify:track:7elEq38tXxEvS4DeXRTHKK
Combination,Aerosmith,spotify:track:6b7MnwuZnJbP0NUqjoAOCc
We Live In Peace,Marijata,spotify:track:4l8N1IPZW1NpL4RnWbCiAj
"Don't Knock My Love, Pt. 1 - Remastered Single Version",Wilson Pickett,spotify:track:1JkLbghZLWT1rRVsJANORc
Tell It Like It Is,S.O.U.L.,spotify:track:0gmCRJqgxbIhvSjUH72Jwb
Hallogallo,NEU!,spotify:track:5ten0WtejUB4F0lGVFStyE
Fearless,Pink Floyd,spotify:track:7AalBKBoLDR4UmRYRJpdbj
I Don't Want You on My Mind,Bill Withers,spotify:track:56n7xjncKs9RInEHAmjtco
Warriors,Thin Lizzy,spotify:track:2vMBRpkDd8TbxY01tO9v2c
Mystic Brew,Ronnie Foster,spotify:track:40XIh4aEp1Ts5F4XEQM2lj
What Is Happening?,Byzantium,spotify:track:1OyAftpC9bYyuSR0Jt5wu0
Only One Winner,Nazz,spotify:track:1t7M9JRG6WJAje7mGGGhoC
We'll Talk About It Later,Nucleus,spotify:track:3XNTSwR8MwfPfmhQZwP0dr
Jackie Blue,The Ozark Mountain Daredevils,spotify:track:1R9EHsvzpXwOvlGkgDmE55
Old Times Good Times,Stephen Stills,spotify:track:6YBb8MGaHj5jC2uMFxWg0L
Slippery When Wet,Commodores,spotify:track:7a13xzsyUJGciP6Wr3Ku6R
Pride and Vanity,Ohio Players,spotify:track:4EDobokEwWLB7Ef4RLjHsU
Atomic Punk - 2015 Remaster,Van Halen,spotify:track:6XzfupaB5ikgUMnrFgJBvS
I Just Want To Celebrate,Rare Earth,spotify:track:4iW98ZK1gNzcXmQ5TgTD9X
Dancing With Mr. D,The Rolling Stones,spotify:track:1o1pQLvKMNqkeLYWGrlA4d
Help Me,Joni Mitchell,spotify:track:0tVzXGFyNPusa1VkHmYDLd
Respect Yourself,The Staple Singers,spotify:track:46JKtJ4Ws9VgtUVxFjcDlQ
Sound System,Steel Pulse,spotify:track:55nUAVGOinBmNSuIDGHQtB
Loran's Dance,"Grover Washington, Jr.",spotify:track:7gNrC7OWXD4sp3JZiGEjUc
The Winner,Bobby Bare,spotify:track:1gTCzUascRfdigO7PgpT6k
Let's Take It All,Spiritual Concept,spotify:track:02JZTwhETBzgyov794DaNm
Hard Drivin' Man,The J. Geils Band,spotify:track:3FxQ1GofQpnHtXAPgAWD5J
The Fire Down Below,Bob Seger,spotify:track:7uQftgqxvkdl9GLE1Q3OOQ
What It Is,Ohio Players,spotify:track:7I9Pkm2bTcpsx3pPvl5C0m
Sing Swan Song - 2004 Remastered Version,CAN,spotify:track:38jqyFghcqZbGubCgOvCkJ
Mesmerization Eclipse,Captain Beyond,spotify:track:6XK7A73bgUP0gjHvtSjN5J
Cut the Cake - Single Edit,Average White Band,spotify:track:3xbxpWicMrEJWwNhgvMjp6
You're Driving Me Right Out Of My Mind,Joe Bataan,spotify:track:3LAqOmkx52XUn79MK9ltDA
Space Station #5,Montrose,spotify:track:2kLGZ6ESCKHdQ0DqXoX4PS
The Fixer,Humble Pie,spotify:track:25YMdQpbY5As0lx7ZsL1kY
Ain't Got Time,Curtis Mayfield,spotify:track:2cKcB4aKrMbxRN9aLLMTSv
Sin's A Good Man's Brother - Remastered,Grand Funk Railroad,spotify:track:6pWvauh3ksqTynfxV2WyIb
Mother's Daughter,Santana,spotify:track:1Ag8YqvKOcwapkaRJG66p8
Future Games,Fleetwood Mac,spotify:track:021JldNpXGATNSC69edcBT
Do It Up,Riot,spotify:track:2oix3cyreeYpvd1LBnEu6o
Isn't It About Time,Stephen Stills,spotify:track:4jEQO6oTTPRafYh0AHyQ9h
Dean,Terry Reid,spotify:track:02S3bKFXu6Ow0bmJdmEQlr
Rock and Roll Doctor,Little Feat,spotify:track:3uvEsp3LWHowImpBbZnAtS
Pensamiento,Stephen Stills,spotify:track:1b3EJqctiCIn4oEQDSqmRc
Get into the Party Life,Little Beaver,spotify:track:3rZrK0m6FsVwNBS0SFpivX
In Time,Sly & The Family Stone,spotify:track:21SHzZ1qsXzJ5Socuuyo8w
People Say,The Meters,spotify:track:746CCMLis8SK64lLVXMF1d
Spanish Moon,Little Feat,spotify:track:24eRthJ3VWBI7B9cuFBdMG
Down By The River,Buddy Miles,spotify:track:6zYQOQjcQlv5zIJ17q65LG
Live With Me,Humble Pie,spotify:track:2lMva3tTgQostvWbuOWyAW
Accadde a Bali,Arawak,spotify:track:4mE5PiEkFkqkG2haNY35rP
Light Up Or Leave Me Alone,Traffic,spotify:track:6MeSDfZgtjw7k9QgdLxbNI
You Haven't Done Nothin',Stevie Wonder,spotify:track:1inwt0v9a4ib9yS6Y4KsdM
The Worst Band In The World,10cc,spotify:track:2QuhQtkWjIgUnD0osMVxmQ
I'm A Country Boy,Lynyrd Skynyrd,spotify:track:5JNvakubS6bqJ6TPRRiold
Fishes and Scorpions,Stephen Stills,spotify:track:0aj3AkOk9zn7OiNXcquUDd
Bloody Well Right,Supertramp,spotify:track:2SmlWvdYG6FsagxN3FkHMI
Night By Night,Steely Dan,spotify:track:6dPSAWeeV6VO7CGBocFL02
Pick Up the Tempo - Remastered,Waylon Jennings,spotify:track:53VKYgVhNeEughsnDo1QPi
You Make Your Own Heaven And Hell Right Here On Earth,The Temptations,spotify:track:0NHbO57C7Elyh1itmFtS7a
Ramble Tamble,Creedence Clearwater Revival,spotify:track:47atuTch0AN7NvP9vp42a5
Gypsy Rover,Ticket,spotify:track:0kKPcvtLJrciL7DSDHQ9RX
Only Good For Conversation,Rodríguez,spotify:track:06aWHX6U1AP5mBZp4FJRzB
Rats,The Kinks,spotify:track:2kz1QRCZnhCumXOJ2693pu
Maggie M'Gill,The Doors,spotify:track:6PtRNOkuXALHwogMnc9NCx
Call - Remastered,Embryo,spotify:track:5UCra7mAykced74XXz4Z2h
Running,Baby Huey & The Baby Sitters,spotify:track:72h68r1IPddK24W0IbuKqQ
Love Has Brought Me Around,James Taylor,spotify:track:1gBiRW0lAaXGqW8cIySBvC
Hero,NEU!,spotify:track:3MBImoJoOnqCyzW3L4WKfK
Don't Tell Me Later Girl,Yellow Sunshine,spotify:track:6aHGPf4R0kHtNmsrbEGGdR
Lonesome To The Bone,Johnny Cash,spotify:track:4VbCFTwHmH7U7KvRPhgbGF
A Thing Called Love,Johnny Cash,spotify:track:4Zy3y23RJDQEohBZFu94v1
Here Comes That Rainy Day Feeling Again,The Fortunes,spotify:track:1Nre9NRh8OCEAyHsdr5CZe
Yalla Yae,A Foot In Coldwater,spotify:track:2B1O77o07y5e0bMLLeEGKq
The Wake,Oasis,spotify:track:2jjbmVvnqqmcRoBGMf2OSG
Bad Things in the World Make the Nice Things Nicer,Ticket,spotify:track:4rAGAXhA2ib8ein32DSlRK
Stir It Up,Johnny Nash,spotify:track:4UvXfxg1ommzERwd6JVIHv
Last Train - Remastered Version,Allen Toussaint,spotify:track:1zFkWtm4zmjB4O3qAokRBX
Somebody Calling,Robin Trower,spotify:track:630OWeCwxwzJ46N8xTgnoJ
Faster - 2004 Mix,George Harrison,spotify:track:0g2N0JGWnKD7bTahmY4x6Z
One For The Lonely,Paul Pena,spotify:track:37lBHUZG9xFZ5w28D88G50
Superfly,Curtis Mayfield,spotify:track:4XsH9zBWPOCdXoH9ZDdS8r
Swamp Music,Lynyrd Skynyrd,spotify:track:17jdqGUsxfqm9n2HnbWSYq
Do Something About It,Thelma Houston,spotify:track:6Zh65gbLKl2cOJBKLZLcCr
I Know Myself,The Sylvers,spotify:track:6BnQETIdEsVkiR8u3slj9D
For the Good Times,Ray Price,spotify:track:1XuwkiH87JdwKw3UlJY07E
Keep On Truckin',Eddie Kendricks,spotify:track:5CiOCxc3argOhj5qKNZGN0
Cuff Link - 1993 Digital Remaster,Wings,spotify:track:7IURohlrpcxI7yQuE73goZ
Tell Her She's Lovely,El Chicano,spotify:track:6yb6xhPaZBYwPvamEITnHy
Cha Chita,El Chicano,spotify:track:23MGV9z6pydMvIA6Gmfuh1
Rubber Band,The Trammps,spotify:track:30qGwfY1Vuc4Xbdswn3cjF
Ghetto Woman,B.B. King,spotify:track:3XEQc61AX64t3X4dQvtU2s
In From the Storm,Jimi Hendrix,spotify:track:48qby6VFvlI0aBXliBXcVr
King Heroin,James Brown,spotify:track:0zu7GG2nftctpGY7WAYfhW
Things Goin' On,Lynyrd Skynyrd,spotify:track:3ncge3MnlzfSvV7AQrbtTG
Big Rig,Jimmy Buffett,spotify:track:5i351CLg5SHEO5sPSDR39C
Sweet Thing - 2016 Remaster,David Bowie,spotify:track:4gBRHnW9xeNABYDR2zV8Jj
Out on the Tiles - Remaster,Led Zeppelin,spotify:track:6fxcpQMUoX0ofnbIHVnVWN
No Name Bar,Isaac Hayes,spotify:track:5UDXWrGj2pNSPuPqpO6LOO
On the Loose,Teaze,spotify:track:2LA2kh3TiaeaoCQUyL0xdS
Minus-Plus,Smith,spotify:track:0yd4m5vmOYH9V7BAMA3Eai
Stand Out,Love,spotify:track:74OXxF3dWJUoPbl8RdrakM
Pain Train - Remastered,The Guess Who,spotify:track:17PMGJrNtg19OdXh0DgAEe
