Inspector Gadget,The Kartoon Krew,spotify:track:05gNNySi0N20CpbNiYynCy
Jimmy Mack,Martha Reeves & The Vandellas,spotify:track:57AbtgUlds8zCEAuedOxxG
Coming On Strong,Brenda Lee,spotify:track:3IVYAkuJ62oqVCy17YMGuX
Civil War,Guns N' Roses,spotify:track:0EHzXpyi1swR8sMpbVHcLJ
My Funny Valentine,Anita Baker,spotify:track:5nAIQ6Myk5ZopfjWQ5bx6P
Foxey Lady,Jimi Hendrix,spotify:track:1tsOB58QHINgc2FEJylsLP
If You Don't Know Me by Now (feat. Teddy Pendergrass),Harold Melvin & The Blue Notes,spotify:track:3oI95Uihdvu7uCiirC1DQA
All Torn Down,The Living End,spotify:track:7wExJtAgOuF21fMxUwyIsB
"Oh, What A Night",The Dells,spotify:track:2ht21Rlf8L6cPLBkYmhpcs
Big Mouth,The Muffs,spotify:track:4bGbUyh2AkNTy9Ca7kDgki
Retarded,The Afghan Whigs,spotify:track:2ShzfroHNM1WZRJXrU3kgw
Peace Of Mind,Dr. Lonnie Smith,spotify:track:5mh1rH0CUtGPr0mxYhwZlv
Rainbow,Bobby Callender,spotify:track:0dlA1UuWQMR9Ul6fnEfHIF
Johnny B. Goode,Chuck Berry,spotify:track:7KkzVlps826NezcpXPvEuV
I Will Buy You A New Life,Everclear,spotify:track:2fhfoZqqTJ8jo4HvWseNfM
Super Crush,Tiger Trap,spotify:track:1rflg5WUTBLztF4xeFQTmh
Knockin' On Heaven's Door,Guns N' Roses,spotify:track:7gXdAqJLCa5aYUeLVxosOz
Scraping,Hot Water Music,spotify:track:4EA5eZVH9czdIszHSf5mit
Push Th' Little Daisies,Ween,spotify:track:6VYGSmBcn3BaAKao3bo2UV
Little By Little,Dusty Springfield,spotify:track:3RLwvO8is7wWAKIvhToafm
Angel City,MotÃÂ¶rhead,spotify:track:427SKJm1VAa72tcibl4ir4
Invitation to Cry - Mono,The Magicians,spotify:track:6HdDj3RS4qS3vks3ctGLPz
Interzone,Psychic TV,spotify:track:55zW2QCuVOslK8DxUCU2n4
Open up Your Heart,Buck Owens,spotify:track:5QIvQB3uuTeGSJoVForLgC
Nature Boy,Monica Zetterlund,spotify:track:0k3bx2UtmdlQFsPrnEHPAa
Hey Little Girl,Dee Clark,spotify:track:2r9ppaNCRtq7RWmrn69lsE
Quererte A Ti,Angela Carrasco,spotify:track:4dRr0TfZQmZF2waLzRzoQo
Nancy Drew - LP Verson,Tuscadero,spotify:track:1FKEYRdBXqS8y2kRiqbH9g
Fly,Sugar Ray,spotify:track:3uPfVXcjnpOjyzI3jb3js4
Tomorrow,Silverchair,spotify:track:1kWbriV6xrd2lqFJfm7WJm
Soul Finger,The Bar-Kays,spotify:track:085diW9d1iWe9qeNQiDYOw
Grab This Thing - Part 1,The Mar-Keys,spotify:track:5szRua0s2mqKQPTDNA1FWQ
"Play To Win - Bef Disco Mix 12"" Extended Version",Heaven 17,spotify:track:2c1j6CEBnao9e4dhlYYXvR
You're Driving Me Insane,Missing Links,spotify:track:0wFE2hbFrXt2FrcwC584Iz
Through The Never,Metallica,spotify:track:0K8hmlY7fVZLRp3R1JnWLT
Take Some Time,Sparque,spotify:track:38Cb1yZUbZSlXqqfS5xies
Hello Mary Lou (Goodbye Heart),Ricky Nelson,spotify:track:6yhPlKwcvGpRcFkLVcAk4F
"Love For Sale - Live At The It Club, Los Angeles, CA/1970",Gene Harris & The Three Sounds,spotify:track:1J8pgMClN5SLT2MR3FxZmi
I Want to Be Happy,Helen Shapiro,spotify:track:4OD6QhSh77C91qx3A6KKZE
Incomplete,Sisqo,spotify:track:3w8Mw9GHYepoTWOSdiyosj
Paint Pastel Princess,Silverchair,spotify:track:505WatNdURT3AeD2EKCDry
Shake That Thing,Hasil Adkins,spotify:track:229OgAtBMRDNgkkHl8I4fU
Estranged,Guns N' Roses,spotify:track:46TYXxwJDYD9JLd2PQLrkO
Don't Shoot Me Down,The Brogues,spotify:track:6prgfVyo5ASYJhv5xj8c2K
Spiderwebs,No Doubt,spotify:track:4ZD6SiaJi75smnel0d7jl3
Kentucky Fried Chicken,Ronnie Foster,spotify:track:3lbiidDO5tefbxx238lcjQ
"If I Ruled The World - Original 12"" Remix",Kurtis Blow,spotify:track:1hqWlKisb3Xo2LkLqQQUYb
Losing My Religion,R.E.M.,spotify:track:74EV0g12ihUoOUXMprFpZB
a) Eleanor Rigby b) ELDS - Live Version,Vanilla Fudge,spotify:track:79TWsarw2hV8iP8soQEyiO
Nothing Natural,Lush,spotify:track:6zrL6etENCa2ZEwnPcxGkb
Mis Manos en Tu Cintura,Adamo,spotify:track:6kFowCmp5RNQhsK8LzC0gp
A Teenager In Love,Marty Wilde,spotify:track:4ZfcGNBSbemumJo9ZnVxUw
Too Many Fish In The Sea - Single Version,The Marvelettes,spotify:track:6NcyI4rN4tCETBWnABr9NK
You Can't Bring Me Down,Suicidal Tendencies,spotify:track:203xxdlledLFnkqrUleD72
Story Untold,The Nutmegs,spotify:track:4wy0HqOrbLLzsg9WMEod2v
Ooh Aah...Just a Little Bit - Motiv8 Radio Edit,Gina G,spotify:track:7kyMLaXepcGHIrsLqoiTB8
Come Go With Me,The Del-Vikings,spotify:track:4Ul2q7TUVGkHIFyMABAgk6
Happiness Is Just Around the Bend,Cuba Gooding,spotify:track:1gsMEIDEcx1FlbcaTvKMnT
What Do I Have To Do To Prove My Love To You,Marva Whitney,spotify:track:7FGcGH5aSh9jDtQ7znVICY
Doo Wop (That Thing),Ms. Lauryn Hill,spotify:track:41Vs28E6Es3QdxIRqDnBv1
Love Is All Around,The Troggs,spotify:track:5dssPp9k7Fc4zeyFWaObFM
Villains,The Verve Pipe,spotify:track:2DiRWzu2wnN8se8OvjjuXW
Smooth (feat. Rob Thomas),Santana,spotify:track:2pX4FpOgwItRVPPUFdRcxA
Horn In,Duke Pearson,spotify:track:26m4D8ZiXybN6f9grmUE0j
Back Out,Grant Green,spotify:track:1Dv9SQONHOsrLAONzvPU3E
License To Confuse,Sebadoh,spotify:track:6J87gJpCg5xdVIM1Fs8uBK
After the Flesh,My Life With The Thrill Kill Kult,spotify:track:2GGFfHz2laYuGNDtqJRvAK
The Pied Piper,Crispian St. Peters,spotify:track:7rJexCt1wAsP2VacX4JGrT
Why (feat. Michael Jackson) - Duet with Michael Jackson,3T,spotify:track:0gfqiSFDDJSZnmJv1EUbRO
"I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack",Aerosmith,spotify:track:225xvV8r1yKMHErSWivnow
"I Can't Help Myself (Sugar Pie, Honey Bunch)",Four Tops,spotify:track:0GiWjFOVWv3mVaNCxkgqlq
She's Got Everything,Bob Hocko,spotify:track:4v6AMwTjNo5UG1LPr4Q37U
1979,The Smashing Pumpkins,spotify:track:5KRRcT67VNIZUygEbMoIC1
Dancing On The Floor (Hooked On Love),Third World,spotify:track:3fypyAYCCjjGIw9w7hU5yD
You Cause Me to Wonder,Don Bryant,spotify:track:3jXBMYtQk1iitMAfz2VKmP
Sway,Bic Runga,spotify:track:35PYCZLdGi3gRMdA26dZ59
Te Lo Pido de Rodillas,Los Iracundos,spotify:track:1hFFbIMysMP8CfCgLvh7hh
If You Tolerate This Your Children Will Be Next,Manic Street Preachers,spotify:track:2r7y4HANK7b9KVZfz0g4Uq
Firecracker,Strung Out,spotify:track:7cJvf5ZrfXDTcYHq1iXuRW
El Cuarto De Tula,Buena Vista Social Club,spotify:track:0NkBKaWhqR1KN67bUPlvYp
Wild Thing,The Troggs,spotify:track:46iPLIwKPJ1b3A4whrCi3z
Sugar Water,Cibo Matto,spotify:track:2mQnPuVeoJXwS8p9J4JUIb
Principles Of Lust: Sadeness/Find Love/Sadeness (Reprise) (Medley),Enigma,spotify:track:2KlQK1VMN7Hs0IjaIq8Vtw
Send Me on My Way,Rusted Root,spotify:track:6hs3SDnbO3f6VQuPO4KBEb
Nosferatu Man,Slint,spotify:track:6GAXCHVUI8qs39OIOmhWBb
Song 2,Blur,spotify:track:4F64QXRV1EGHSm5jIeMmcQ
Gett Off,Prince,spotify:track:0wFkjAM4VVoepQdYB6kl4U
Nature's Revenge,Skinny Puppy,spotify:track:5Iel4QEdVAKH8Mb6ktwJKw
One Sweet Day,Mariah Carey,spotify:track:7ySbfLwdCwl1EM0zNCJZ38
Walkin' Back to Happiness,Helen Shapiro,spotify:track:3mNfU0psAm7h3s6Dn6i7SD
You're My Desire,Mary Wells,spotify:track:02aBMBXMeZjpuwV1cvfpYc
I Will Buy You A New Life,Everclear,spotify:track:1kAsK3l5yVBqUZdf9182ow
Bottom Dollar,Billy Joe Shaver,spotify:track:41nuKpcxFzxqSSsZRA77Ze
Cynic,Local H,spotify:track:3czJve05oRHbf1aDWxiiHb
It's A Hard Rain's A-Gonna Fall,Leon Russell,spotify:track:4eh67nubmsyFPzcST1yFw8
Get Ready - Single Version,Rare Earth,spotify:track:0JHj9YBdBGSASzjTQoMleo
Single Again,Gary Stewart,spotify:track:4tqDdxDnGq8ufWIseQsLeg
Superbeast,Rob Zombie,spotify:track:2lJvciTEU834w2Yl7VVueJ
Airegin,Grant Green,spotify:track:3ccPNJ50ja94sxlEJGAU9k
All The Small Things,blink-182,spotify:track:0lHWf385QpzpHulxt029L6
Into Dust,Mazzy Star,spotify:track:7l5nkTZpoD93OkynN0gcon
Joyous,Pleasure,spotify:track:4yVKYKv0qoS66bU4KQUsLe
Hunger Strike,Temple Of The Dog,spotify:track:0W7AbEauB7cP4pidLclApe
Meatblower!,Bunnygrunt,spotify:track:1mb9WgUkTchtpi7asHFvg2
I Wanna Be the One,Stevie B,spotify:track:6AOsz26oASRoCK1Cm1ioJP
Gotta Get Away,The Offspring,spotify:track:5J9ZxREseblbKqJZf20cVP
Popular,Nada Surf,spotify:track:48sJGpBLqQTs0sZ2ImHJof
San Francisco Beat,Brian Bennett,spotify:track:5o7HLV8nu1jjttwfnYAVxf
El Scorcho,Weezer,spotify:track:4rzEjTzcG4sP28IUnRwlex
That Smell,Lynyrd Skynyrd,spotify:track:3xccSqNeyY22jMzvp6j7Jp
Seasons In The Abyss,Slayer,spotify:track:2jfYVyExxd0j61Qm5TZi6V
Baby Hold on to Me (feat. Eddie Levert),Gerald Levert & Eddie Levert,spotify:track:38V9quY32pQ1DPK5JRTs94
There But for the Grace of God Go I,The Gories,spotify:track:0pDMnocBxXOPjBiTfYr8bl
I Want You,The Cassandra Complex,spotify:track:49ID3N2uhtx71v3bkijX5T
Love Light In Flight - The Woman In Red/Soundtrack Version,Stevie Wonder,spotify:track:2NaOvpnfJoSEbG5LtcgNHT
Who Are The Mystery Girls?,New York Dolls,spotify:track:3eJD2qnYQZEDcEHwPiuVzH
Too Hot To Stop (Part One),The Bar-Kays,spotify:track:1pZlO1V8RgQFHUKDLOPguT
This Land Is Your Land - Live,Pete Seeger,spotify:track:2LPuqu3kmr3elpDdVIa8zm
"Baby, I Need Your Lovin'",Johnny Rivers,spotify:track:1OdFAYq591cuGvEu5wSPIA
California,The Aislers Set,spotify:track:0OCYxSNkYu0sVbqKYNbonW
Quarter To Three,Gary U.S. Bonds,spotify:track:7aHn8rGeEGkDkQiUV0DpW1
Slight Return,The Bluetones,spotify:track:3SyPTIK2xO4UhlpmKPsnK6
Return to Serenity,Testament,spotify:track:5awljpWNO5TpXCyjpvCBbs
Nihilism,Rancid,spotify:track:5g1jCZ5cQuPw6YvEkd7Yni
Tomboy,Bettie Serveert,spotify:track:3XHCj9GYldyCA1Z7ejnacJ
Headache,Frank Black,spotify:track:4cfwFpKAAMjkUpDd0ZwWGs
Shock - Shep Pettibone Mix,The Psychedelic Furs,spotify:track:5sgdqyn0NtyBrxAXk1OWtY
Butterfly,Crazy Town,spotify:track:4BggEwLhGfrbrl7JBhC8EC
I'm Not Talkin',Things To Come,spotify:track:11aKIqBMnejsMcj9PAteyS
Losing You,Brenda Lee,spotify:track:5O56HDGXBEDLD1y03heq1V
"Coldhearted - Quiverin' 12""",Paula Abdul,spotify:track:6TQT33WV8dRuhqtCVLjHXx
Don't Stop The Music,Yarbrough & Peoples,spotify:track:6DinqTqzIQy218691HBZtH
Motorcycle Drive By,Third Eye Blind,spotify:track:47wtXjG0Sk6DI6cjkRBcEg
Hey Leonardo (She Likes Me for Me),Blessid Union Of Souls,spotify:track:34c09e1nnPqjQ48TKZvSnt
Days of the Broken Arrows,The Idle Race,spotify:track:7ja7aQuGPAxk9jW4hlOTfI
Laughing,The Church,spotify:track:464rZwo7C2lSY3KW4Quwkz
Funkin' Around,Longineu Parsons,spotify:track:3wcsiJMi2oHSXSPozpe5ej
Cornflake Girl,Tori Amos,spotify:track:1300POeOaj8qho30FRHjgf
Sally Go 'Round the Roses,Grace Slick,spotify:track:1w7Gu4ohc5YLkgJMdRwin1
"Dr. Beat - Original 12"" Mix",Gloria Estefan And Miami Sound Machine,spotify:track:6b5EOGzDflaKu6Pt6Csb4R
Reach Out,Narada Michael Walden,spotify:track:486CSLA85bgWhFMnsXiQwH
Walking Through Syrup,Ned's Atomic Dustbin,spotify:track:7Kk3W4j2Wl9DWMqd0FxVsh
I Can Wait,Deep Blue Something,spotify:track:3G1jhQZfX2NkZcSPQi2MLe
Superman,The Clique,spotify:track:41clFYmZA3TssqT3V5uEup
I Thought I Knew It All,Megadeth,spotify:track:2GKvYk3zl0011ZhbuhdnYv
Old Five and Dimers Like Me,Billy Joe Shaver,spotify:track:6mbxusFdch0qfKT6Ygkv25
Lunchbox,Marilyn Manson,spotify:track:1EYTOP6cIzADbgxCFG87ML
Smallville,Bazooka Joe,spotify:track:2FFWWf9vtRql1io8DoAnRz
Drawer,Summercamp,spotify:track:3p7FzwlQ3kPpw6xrUwn3iQ
Rock Star,Hole,spotify:track:72xpgWWuEyLWFFTIKnrAbZ
Torn,Natalie Imbruglia,spotify:track:1Jaah2tmN9Hv81A87KZ1MU
Haunting Me,Stabbing Westward,spotify:track:4bQ7jyBTnx33v44yaLtDIC
Bullet With Butterfly Wings,The Smashing Pumpkins,spotify:track:1EzeXGaZdqsA4Nst1AIAL2
Everybody's Somebody's Fool,Connie Francis,spotify:track:6jdONXtmF2ZmLyRgZfwDRj
Murder By Numbers,The Police,spotify:track:0lktcpMTbnJEWKhq5IZpWH
It's Raining Men,The Weather Girls,spotify:track:502PSdxdKZQnooHUYUj6JI
Fuck You I'm Drunk,Bondo,spotify:track:2LObPbWbYNgK9pkdP2PzTn
Too Much Of A Good Thing,The Sons,spotify:track:2Mbw4wOgF4WvJHXRp6hYEs
Words Enough to Tell You,Mascots,spotify:track:2Pu4GtxAXJGzfxvKldqh8L
Waiting,The Rentals,spotify:track:1fQJPRtrD1abNeOcZVRNO2
Kidding On The Square,Tsunami,spotify:track:6hYbgkKB6JkJZ0y1tudEIR
Shout,Lulu And The Luvvers,spotify:track:5pnjC3ic5HEhPAG5ELQYGj
Striving For The Lazy Perfection,The Orchids,spotify:track:7dfvF9iZpnepiP5hPBXPXb
Stinkfist,TOOL,spotify:track:0pwObEOHolQZSldJ2q1wpy
Scatman (ski-ba-bop-ba-dop-bop),Scatman John,spotify:track:623rRTKwGmgjH6sjE9uWLh
Expeditions,Mythos,spotify:track:4uCKgAhneJjkdVKKMeJZbX
I'm Not Your Stepping Stone,The Flies,spotify:track:3tgMZBRC9NwnuD6b4kWlBi
Call It Love,Yello,spotify:track:05c24EcPf7bhNh24tATxsx
Cambridge California,Lilys,spotify:track:2CSTP9eo3XlFZZi7Ek6J1w
Fields of Coral,Vangelis,spotify:track:27iy87clL6mJQh9ybqLNK8
Changing Stations,Eyeless In Gaza,spotify:track:11lx7K7v9lzf1miQ0xGr1r
Why Don't You Do Right,Della Reese,spotify:track:2P9USWlZ56o9Aq0KPZgKY5
Feels Good - Carrots & Beets,Electra,spotify:track:4XagBRVqOiMShocifucrgd
Children Of The Sun,The Misunderstood,spotify:track:6nsQPeq0yDD44D7yZKQhVw
Camille 2000,Piero Piccioni,spotify:track:02xoswVvBiJFf76QTqncsF
River Runs Red,Life Of Agony,spotify:track:3KrjJgriB8BcBWOwNNB69F
Oceans in the Hall,The Ladybug Transistor,spotify:track:45iDhWMFE8WPnakyAdquGg
Significas Todo Para Mi,Alberto Vazquez,spotify:track:5H4ro3Egc2eoQWgiPyJpul
Bang The Drum,Railroad Jerk,spotify:track:5B92EbOT2VV3kxQOsdog9l
Staring at the Sun,Smile,spotify:track:5qgvIFBHxQjtJ33Oxv1OUw
Nothing Else Matters,Metallica,spotify:track:3ZFwuJwUpIl0GeXsvF1ELf
The Moron Brothers,NOFX,spotify:track:7B0XWr4O3lvYjNHSXPLsbI
It's A Miracle / Miss Me Blind,Culture Club,spotify:track:2vexD4fGrQ2VI6mqogjjnD
You Were Made for Me,Freddie & The Dreamers,spotify:track:6rZHBTO3axCN9zxK4nhfPE
Can't Wait Another Minute,Five Star,spotify:track:0668Md7QtiVoYFQbOamolA
"Outstanding - Original 12"" Mix",The Gap Band,spotify:track:1MOl6vGP299N8vd4zaHMTE
Don't Ask My Neighbors,The Emotions,spotify:track:4CEZZT4CwJMJiImFpJYIEF
The Twelfth Of Never,Donny Osmond,spotify:track:2uM6Jb8bGOmv7h7bh67JWY
RUNNING IN THE 90'S,Max Coveri,spotify:track:6DlPa2rrVK3BygXJ48WYo3
My life,Thor's Hammer,spotify:track:6kr0XblyB9joBx7FD976n5
Tears in Heaven,Eric Clapton,spotify:track:7utRJ4BeYx85khzP3lKoBX
How Can I Ease the Pain - Slow Jams Version,Lisa Fischer,spotify:track:5D7iIgJ9LidmMINnkZd5yJ
Don't Cry,Steppenwolf,spotify:track:2CygQneLeZJ0xXcQCWCmNu
Kill You If You Want Me To,Caustic Resin,spotify:track:5wY1IrMl6xH5vd0c7DqPbU
I Love You,A Taste Of Honey,spotify:track:5zkHC9eYyZk9SXAenW4An0
Skinned,Blind Melon,spotify:track:1LnNC5LlJfLWISdy8tnZw3
Got to Get You off My Mind,Solomon Burke,spotify:track:2aBa2XO23shN0lQjpL0G1K
Dreams,The Cranberries,spotify:track:7b5u0BAnfJRvjWFS7Ue7bU
Glory Box,Portishead,spotify:track:3Ty7OTBNSigGEpeW2PqcsC
Dance of Maria,Elias Rahbani,spotify:track:4Pz6wlElvVe3JsLaRsj6kW
Dyslexic Heart,Paul Westerberg,spotify:track:6I1ESyGhZAEzZvxkxGyUZS
I Can Love You Like That,All-4-One,spotify:track:70d8omRI2p7qesFOiy55Ro
Rammstein - Edit,Rammstein,spotify:track:7Kl8hfSH4uG9nEFTkA5CNG
Lake Of Fire,Nirvana,spotify:track:3aKJVWH2QOsaMtiCLxYHZX
Carmelita Skiffle - Live,Nick Gravenites,spotify:track:4WnFkT2Dt54lMKWqWzGBXu
Everybody (Backstreet's Back) - Radio Edit,Backstreet Boys,spotify:track:1di1BEgJYzPvXUuinsYJGP
Tearin' up My Heart - Radio Edit,*NSYNC,spotify:track:594M0rqYMOo8BhMGEdoi5C
High on Love,The Knickerbockers,spotify:track:4naJ8j7Lm2XeH60VBX6Q7V
Tennessee Waltz,Alma Cogan,spotify:track:74ofWyrbvF76TukOsVfhsS
The Sun Ain't Gonna Shine Anymore,The Walker Brothers,spotify:track:2FeUfcuQF8A7LCvWERn41R
I Say A Little Prayer,Reuben Wilson,spotify:track:0wvP9RjM9TQ7Z25FG2uM5f
Nights In White Satin - Single Version,The Moody Blues,spotify:track:6nNFXUIBSRC7yfNZwDlYrV
Jessie's Girl,Rick Springfield,spotify:track:0TF3F5Lw5apoD1zvR8LikO
National Express,The Divine Comedy,spotify:track:7wsgeXJQTOTyZCn8F0SqFK
Desolation Nightmare,Specula,spotify:track:4THRQAsirs6BbijJJ9FO6s
This Could Be The Start Of Something,Grant Green,spotify:track:06DqS8SH9HnEq9RCVpcwU2
2000 Light Years Away,Green Day,spotify:track:6pM25DLzJb5oWj74d3ElXI
De-Luxe,Lush,spotify:track:2RylQ7K1o5yOg2SWHwD4CG
The Chemicals Between Us,Bush,spotify:track:4PMfVdotyZYRi0CMwjOAvS
Killing In The Name,Rage Against The Machine,spotify:track:59WN2psjkt1tyaxjspN8fp
6th Avenue Heartache,The Wallflowers,spotify:track:1qEyqHR1xsj2MC4Qy0dsaI
A Serious Of Snakes,Wire,spotify:track:0Rlu3L7ucT3HatJcKwfWQs
"How Come, How Long (feat. Stevie Wonder)",Babyface,spotify:track:6kTakcO9wwXh8tEqmJSV8h
Christian - Extended Mix,China Crisis,spotify:track:1aE3If5Perm6VYmO5fuz2Y
Hey Paula - Single Version,Paul & Paula,spotify:track:6MpCxTJNdkHIpvQRuID8zU
Satisfaction,Television,spotify:track:36exC4QrCa0SCpBa1p9ejw
Hush,TOOL,spotify:track:1icudzJCEUyjOVYzw7emST
Spiderman '79,Veruca Salt,spotify:track:0dOHmd439Y3mD8mrFBLARY
I'd Love To Change The World,Ten Years After,spotify:track:3s9ri7hKv6ijDn2k89veEU
Rama Lama Fa Fa Fa,MC5,spotify:track:1oW0vq6OLqWnL1GlR8PaWe
Mutt,blink-182,spotify:track:6TGmSWCjthblpWjJN0b2lV
West End Girls - Shep Pettibone Mastermix,Pet Shop Boys,spotify:track:56JlUxlgZS1ZFgjopdgdBt
Counting Blue Cars (Tell Me Your Thoughts On God),Dishwalla,spotify:track:6B618H5CuCdEzcVs0NKTlt
The Sign,Ace of Base,spotify:track:0hrBpAOgrt8RXigk83LLNE
Peppermint Twist Part I,Joey Dee & The Starliters,spotify:track:7dROEZTDD4nWtf4tywSt7j
A New Era,S.T. Mikael,spotify:track:0gzEatX5YqcP7lwE0WKyap
I Will Survive,Gloria Gaynor,spotify:track:6b8IKVufOkAawvQVguQxmo
Manhattan,Eric Johnson,spotify:track:21i2hxJAkQCWlSWejTkN0T
Choir Practice,Lipps Inc.,spotify:track:59qnrsqtPt8vbhnDE00toq
Roll Roll Train,Hasil Adkins,spotify:track:4uHPaGoeZfSzuUdkufgZqk
Say It Ain't So,Weezer,spotify:track:6VoIBz0VhCyz7OdEoRYDiA
You Don't Know,Helen Shapiro,spotify:track:7whWyCFOIKTCDmwx3wtLGo
Higher,Creed,spotify:track:0J39Z0d8WCrHdFFlF9Xxbu
Street Walker,The Bar-Kays,spotify:track:44m3xejSoPm4o1GWv5jk2E
Keasbey Nights,Catch 22,spotify:track:1EumTYKFbtiK1p65CqKKOw
Who's Gonna Mow Your Grass,Buck Owens,spotify:track:5grRpSLH4tTlcDE8SUdKC9
Darling,The Debonaires,spotify:track:4FaxWZpycFsEPobFhXt6S8
Counting Backwards,Throwing Muses,spotify:track:7s7kn50apsTEb2Rv7Rgbk7
There's a Moon Out Tonight,The Capris,spotify:track:0H0ahZpih9KvOvECJbS5re
La sirena varada,Heroes Del Silencio,spotify:track:185xDOLU8KPZKqhUICnjRz
Downtown,Petula Clark,spotify:track:6WwoEE06UHJkFuzytECQ49
Something So Good,The Railway Children,spotify:track:1NlWKeTXE8v5vupPAZ1IfD
Top Pocket Man,Chavez,spotify:track:7qpnEJHEw0odeWctIWNA9j
"Loving, Sacred Loving",The End,spotify:track:0Xf8LOeolxesOQzHsHuMVN
"I Just Wanna Dance With You - Original 12"" Mix",Starpoint,spotify:track:6u8Hziy3dMcqvmxviOZZXE
Detroit Has a Skyline,Superchunk,spotify:track:5DQnITC4klFrWq8wukLUUQ
Shout,Lulu And The Luvvers,spotify:track:0fRtV3nteuYNhpYrOEWKaD
Entre dos tierras,Heroes Del Silencio,spotify:track:7BYqVvoXpQFhs4jJ0qqNZt
All Night Long (feat. P. Diddy),Faith Evans,spotify:track:1C7ebyOVDboehxsJmk5w4e
This Is a Call,Foo Fighters,spotify:track:2wO8aOvN1ogLy1N8XT1WJE
Amie,Pure Prairie League,spotify:track:1mqydO6xMtyTPa8yo1SdVr
Flat Beat,Mr. Oizo,spotify:track:3JPcICirkAw4TLp9UzEcfl
Whippin' Piccadilly,Gomez,spotify:track:3YeoPH0tOthe65p5zPlJqg
A Kid Who Tells On Another Kid Is a Dead Kid,Nation of Ulysses,spotify:track:5elOwyvAm49Q1OGrlQsSz0
Talkin' 'Bout the Smiling Deathporn Immortality Blues - Everyone Wants to Live Forever,The Flaming Lips,spotify:track:0utaBxvfOf3YJQaKaBZIsg
The Visit (She Was Here),The Cyrkle,spotify:track:5dIcC2RTD2BOHTC1F0jrIN
Rave On,Buddy Holly,spotify:track:7jPKMlLGZAMnGntHaFeU12
Chocolate City - Remix Scratch Version,Trance,spotify:track:7KwG3FfYMNNzGDBKYYahec
Low Self Opinion,Rollins Band,spotify:track:0g1HLSNG4KxjDXdeYMnLym
"Baby, Now That I Found You",The Foundations,spotify:track:0Z4SFts7Vr5fawgauVuZK2
Freak On a Leash,Korn,spotify:track:6W21LNLz9Sw7sUSNWMSHRu
Sweet Nothin's - Single Version,Brenda Lee,spotify:track:70AZYcdYmiqsTsUt9wbLV8
Sehnsucht,Rammstein,spotify:track:3oWFQPp5lL5x907hCcCRa9
Airport,The Motors,spotify:track:2z7xtlgcHFjAPFCYgQLxUN
"Holland, 1945",Neutral Milk Hotel,spotify:track:4iwMhMvcTqukn1n3NVjb2N
Smoke Two Joints,Sublime,spotify:track:1nkjPVDPQ3zvlWKrpXbNs8
Tomcat Prowl,Doug and the Slugs,spotify:track:4kHlgTkjC4TMO45yxGe7ba
Fazer,Quicksand,spotify:track:0Bv2ixOjn8jKiVTQXE9mF8
Bed Of Roses,Judy Clay,spotify:track:0MHcCMOEEN0XTfY6flFb7j
8:02 PM,For Squirrels,spotify:track:6X2rhhkGrwuUgg9OtbBrQf
A Beautiful Friendship,Duke Pearson,spotify:track:35oRxiT52DIgYBIIqVCxFQ
Sweetness And Light,Lush,spotify:track:577LINEVunl9HDxC4vxuAx
Every Time,Janet Jackson,spotify:track:5lgZax3wvO1oW3Bn0p9veJ
The Warmth,Incubus,spotify:track:0LkssuXRYPFYapjXH9pJBX
17 AÃÂ±os,Los Angeles Azules,spotify:track:1Y372uxsCkKqNclj2ercap
Right Here Right Now,Jesus Jones,spotify:track:3fcGGP62sllcNEhuFJVYeC
"Serious, Sirius Space Party - Club Mix",Ednah Holt,spotify:track:3fWLFgvVovb9muaBkA1Squ
Ready Set Go,Daytonas,spotify:track:0nKB1shcntnnxWQA6TZ3o7
Piece of My Heart,Janis Joplin,spotify:track:2RWraN4ZkuqjcNQAlBNGEH
Moody,ESG,spotify:track:5BeZELzAySW7mN4aHswS5I
I'll Stick Around,Foo Fighters,spotify:track:4LGKzrdEeBwR9UHCGlDT0W
Bad Man,Oblivians,spotify:track:6Sx46X7A4GOP0lIcVpba23
Window Pane,The Real People,spotify:track:4fTTE6XEtcV8kTOqw6oSmq
Let Yourself Go - 1991 Star Time Version,James Brown,spotify:track:6d7HaDW3QT0Cef57QTc5EL
If I Can't Change Your Mind,Sugar,spotify:track:0b4Vn9aOGowJ3xr4SII7n6
Tell Me When The Fever Ended,Electribe 101,spotify:track:0wwVsvH3smGz0ZVanam4n1
Lollapalooza,Farside,spotify:track:0MeoMah3BATRcwhnkL1IdV
Demon Rock,Letters To Cleo,spotify:track:1nhCMdm2GM5SjAjYgjkeMy
So Do I,Kenny Ball,spotify:track:4SJCft2EEBb6HK3IxuMPQM
I See the Light,The Five Americans,spotify:track:4dxdrk5iPhe45Y113YgrHb
Burnt Flowers Fallen,Type O Negative,spotify:track:7jqr8ENG3NMumkq4TmVsBf
Fell On Black Days,Soundgarden,spotify:track:2AAO0bpq6Fad0jNSekFs8G
Lo spazio inverso,Salvatore Sciarrino,spotify:track:32T3n9jYxsHqETW4SR96Zh
"Trapped - 12"" Regisford Vocal Mix",Colonel Abrams,spotify:track:3OAicffPYplAylDTMmQc9L
My Best Friend,Talulah Gosh,spotify:track:1KHyqAqDBFgstEqBRT2cDe
