HÃÂÃÂ©roe de leyenda,Heroes Del Silencio,spotify:track:6pAvXn45z0sktftypuEEzt
Holding Back the Years,Simply Red,spotify:track:0rfjkUk2KGZsOhDAhFbZtw
Always The Light,The Weather Prophets,spotify:track:1SxfexdMpQuDEou4t7Ezgf
Gun,Gil Scott-Heron,spotify:track:0MCEM7WuIw4tS9ih4HGE1S
Pearl In The Shell,Howard Jones,spotify:track:4DY9rtSqtSHg5Kd0nVcuMQ
By Your Side,Squeeze,spotify:track:2FvFRuOtomBMw2SEeRltCo
I Wanna Destroy You,The Soft Boys,spotify:track:1VFVj2dCHgE26UmxwqBi61
If You Think You're Lonely Now,Bobby Womack,spotify:track:0RN5fZ3SVyT0VhltQxNQx4
Cat People (Putting Out Fire),Giorgio Moroder,spotify:track:72OWnDDKTtw3x7tevXHlno
Hands Across the Sea,Modern English,spotify:track:1iaojUrt8wZSTF7kGmAJfv
(Just Like) Starting Over,John Lennon,spotify:track:2FK2Ht204zBNA7fNsZx50e
The Rhythm Divine - Essential Version / Remastered 2005,Yello,spotify:track:7n9yFcLGnq3VxWQGazew48
Cerca De La Revolucion,Charly GarcÃÂÃÂ­a,spotify:track:66grIvFLGrI4tNhggO2DAd
Pleasure Victim,Berlin,spotify:track:3zUyNGnoy51bPQd0xz0F0S
Say Say Say - Remastered 2015,Paul McCartney,spotify:track:5BxoKS16fDiOpcwTztQF30
My Life - Remix,The Pointer Sisters,spotify:track:05Kq7rrx1nxPkfbMJilFOL
Contact,Big Audio Dynamite,spotify:track:6wgPoJuQVls4SkJMPlrogR
Girlfriend - Extended Version,Pebbles,spotify:track:5VGVY3j6yI8ygGcI0bMIQT
They All Run After The Carving Knife,New Musik,spotify:track:60xryUilF7SL3q4ybJGrzC
Send Me An Angel '89 - Extended Mix,Real Life,spotify:track:7CYil2FMychZdNNg9t4sYn
BabyÃÂ¢ÃÂÃÂs Gone Away,Psychic TV,spotify:track:7mt57gQUxzdc3286bvDoV6
Steppin' Out,Kool & The Gang,spotify:track:05NdLBmUVkXlBpel2QR07Y
Chain Reaction - Special Dance Mix,Diana Ross,spotify:track:2ydUa0VusAYfUTcUSKjLX3
The Last Time - 1997 Remaster,Talk Talk,spotify:track:4MAmlSsRV2SWiZvk7z2BFB
Mechanix,Megadeth,spotify:track:2bfwYcc1FzkIym0XRkYb7F
Big In Japan - Original,Alphaville,spotify:track:1KtMazpCseJ2TjKPas4d7h
Que Faser,Codona,spotify:track:5d9DDAjixkB538eY1pWv22
Troglodytes,Thick Pigeon,spotify:track:2uMZm59KQoep6DzMaw80He
Sing Our Own Song,UB40,spotify:track:2ATaXMK6fXuw0j6fStcfpf
Balls to the Wall,Accept,spotify:track:28sMmBCmfHoy6NjZnovEYG
The House of the Rising Sun,The Animals,spotify:track:4mn2kNTqiGLwaUR8JdhJ1l
Do You Really Love Your Baby,The Temptations,spotify:track:3eJmAENbSa01Mc2v73uWgr
Dream Kitchen,Frazier Chorus,spotify:track:7hZgb5ZZCYBqzO2ukTWX6Y
Someone's Calling,Modern English,spotify:track:2kOkqrG6lupmfasaon6rzJ
Geno - 2000 Remaster,Dexys Midnight Runners,spotify:track:75Iv6DYylfJbelgAzJxSAn
Respectable Street - 2001 Remaster,XTC,spotify:track:7DRVJs5vJtoWiRH5dHHBnk
Ribbon In The Sky - 1982 Musiquarium Version,Stevie Wonder,spotify:track:43xxfVyOeF3dwKfnzZgq5S
Mannequin,Taxi Girl,spotify:track:6nmB4NlsmCTJfO7PtSS6mw
Magnetic - Extended Dance Remix,"Earth, Wind & Fire",spotify:track:4r0sYAcS97nUmirWTzZJE7
Hang On to Your Love,Sade,spotify:track:6MiOXhXGPkEqvNR6HX6khS
Elimination,Overkill,spotify:track:6lWFQo5NuR3y8Q6CHIRatA
Facts of Love,Jeff Lorber,spotify:track:2oxcmG1trE8AKHE9b14Lvx
Let Me Give You Love,Barbara Mason,spotify:track:22KjuHeSUEUKN0inW5bclI
Clock,The Danse Society,spotify:track:4iQUmNFs5H3pu8P11r2Kci
The Captain of Her Heart - Special Long Version,Double,spotify:track:4jKpTB9o61oIu9IllES1FU
Give Me the Night,George Benson,spotify:track:62GYoGszQfROZswLee6W3O
Patience,Guns N' Roses,spotify:track:7D5n2kpYH2WSqIyEO9MeXf
On the Beach,Cliff Richard,spotify:track:28eKJshbYmqsT1KquukLJ3
Penthouse And Pavement - Remastered 2006,Heaven 17,spotify:track:6LnnRhjLbH7Z3hQEszMKjs
Take A Chance With Me - Remastered,Roxy Music,spotify:track:1i7udkWd7YzALjdYQnzqvM
Call It Love - Club Mix / Remastered 2005,Yello,spotify:track:5CLyxbrW7ytMmdBNoXmsZZ
That's When I Reach For My Revolver,Mission Of Burma,spotify:track:5QAQxxN163HxD1uU0BrMYM
We Run,Strange Advance,spotify:track:5zVbEkm8boAJJCZ5owccce
Bag Lady (I Wonder),Ebn-Ozn,spotify:track:1KcUDyZZm7sppYxfMfzujh
This Is Your Time,Change,spotify:track:117XtGjNveZf8Tepem8PZA
Mind Warp - Remix,Patrick Cowley,spotify:track:3RYdiVQdP1Fgj77aXEJ4bt
No More - Extended Mix Version,Shirley Murdock,spotify:track:4f6gxfQ4z7IgE8pHNCSzln
Kasso,Kasso,spotify:track:3SSaf0UGr8xGIcuC1iGKfI
Fever,Sylvester,spotify:track:0NqF12epAlvmvDAquhkkUy
This Can't BeÃÂÃÂ´Love,Gangway,spotify:track:3sjBRZVgnaQBQv8wbEhEOf
Never Let Me Down - Extended Dance Mix,David Bowie,spotify:track:6zmOkb4Ed6tYh5zAE90o4K
Private Number,William Bell,spotify:track:0j0NJyTIMkozPchYkvGoOS
Got My Mind Set On You - Extended Version,George Harrison,spotify:track:6miUySWi347iIJyz7ETo6m
Standing On The Top - Long Version,The Temptations,spotify:track:6ZuJOa1OLiYys5I8FDlxXH
We Don't Need No Music,Tyrone Davis,spotify:track:5nlTpo07pG2dMJeos65yYS
Wendell Gee,R.E.M.,spotify:track:0R9He5QEKW6f7LVIOpDcXf
You're the One for Me - Remix,D-Train,spotify:track:4WxYFvA06t0VLvib0oqBCi
Tell Me When It's Over,The Dream Syndicate,spotify:track:2gJfEA1hj2vPbuU4gQUzM8
"Searchin' (I Gotta Find a Man) - 12"" Version",Hazell Dean,spotify:track:21vnN1eRvuyRkXePSYFw9c
"Spiegel for large Orchestra and Tape, Pt. 2",Friedrich Cerha,spotify:track:4YyRPIYc6DOgGwLgsKZdz6
Jacqueline,The Durutti Column,spotify:track:0DA459lZrZqqOPO2m2ekSE
Ready Teddy,Little Richard,spotify:track:58567S92gVMCbImxnYVkXu
Running Up That Hill (A Deal With God),Kate Bush,spotify:track:75FEaRjZTKLhTrFGsfMUXR
Powerslave - 1998 Remaster,Iron Maiden,spotify:track:7vrCDLxUeeqmvX9FMstLcQ
No More Words - Remastered 2005,Yello,spotify:track:1EjnkCLXRhYioNJuOy1PRJ
Synchronicity I - Remastered 2003,The Police,spotify:track:6rz8k4FrzNs33CUUxPqiW7
Dancing In the Dark,Bruce Springsteen,spotify:track:7FwBtcecmlpc1sLySPXeGE
I Need Love - Vocal,Capricorn,spotify:track:6HXopI7ZHJwtIs4AsNiaCj
Mountains,Manowar,spotify:track:7vzbT7EHGdvtnJOcgfnR9l
Blues from a Gun,The Jesus and Mary Chain,spotify:track:74fLpgpdOHDz14DUQGfzwR
Love My Way,The Psychedelic Furs,spotify:track:1BtG0OMIca6fOahxKttLgD
You Can't Get What You Want (Till You Know What You Want),Joe Jackson,spotify:track:1PRiwwG9wDMsqgtapWlu70
Lonely Disco Dancer,Dee Dee Bridgewater,spotify:track:5tzvXmK34MkAMGgGt7TmhC
18 Carat Love Affair,The Associates,spotify:track:0WqvpKi2TLijhQ5uNmKFZa
Everywhere I Go,The Call,spotify:track:1QgNYmqwPGpeDpycrkYDzp
I Knew You Were Waiting (For Me) - Extended Remix,George Michael,spotify:track:3VrNvWT44rkKw8iYD2f2gm
Angel Of Death,Slayer,spotify:track:5AdoS3gS47x40nBNlNmPQ8
Magic,Olivia Newton-John,spotify:track:56BSwBKWHYldQOgYLHiehs
Killin' Time,Clint Black,spotify:track:3otZLoLcx2d74hx8RaHXh6
Frente a Frente,Jeanette,spotify:track:38sK8PSXXgZMLZujwgvNUH
Do the Dance,Trance Dance,spotify:track:40iFVVcTdrUNeWy5n6ZIOR
Lost In Emotion,Lisa Lisa & Cult Jam,spotify:track:0p2lB3tOc2DJGTUltBxjkv
In the Name of Love,Sharon Redd,spotify:track:7fsVQankdDCwYHjQVcjydW
Trem Two,Mission Of Burma,spotify:track:729fuz26uFFzeTGwiqVGbZ
Infatuation,Rod Stewart,spotify:track:2TduKpYWZMxYfDW4NXqgLZ
Race with the Devil,Girlschool,spotify:track:3D8KAebbZgAFdVjTrsNgOI
The Hairstyle of the Devil,Momus,spotify:track:0e4mbzaQmDWtA8AnbvgsPe
The Song Of Life (La-La-La),Minnie Riperton,spotify:track:6IzG1hvRYYHkoRRtgLyefq
Hurts So Good,John Mellencamp,spotify:track:6LOvBuAV5KqwnNyPIVx79u
Useless (I Don't Need You Now),Kym Mazelle,spotify:track:5T9yrhBtehLO1gEtEQgakO
Misguided Angel,Cowboy Junkies,spotify:track:0RLo5RT9uqDCwkRVUJZDwQ
Sting of the Bumblebee,Manowar,spotify:track:3ng97Bz8Uk6A1AKFdySrGP
A Million Angels,Severed Heads,spotify:track:6s9UO0jNaECNx2bTu4gMLI
FM,Steely Dan,spotify:track:0zw5bUUdOxVLBGMsb0SuBh
Centro Di GravitÃÂÃÂ  Permanente - Remastered,Franco Battiato,spotify:track:5DlMR554Db6jiWPRWe95al
Heaven and Hell - 2009 Remaster,Black Sabbath,spotify:track:3HzWxmvpQU3QHQ59zw1X4V
Acid Thunder,Fast Eddie,spotify:track:2vR3tdPA1GsuIrJpmahB4X
Devils Island - Remastered 2011,Megadeth,spotify:track:2z9MIVtbH36VVedfKda54p
Bang the Drum All Day,Todd Rundgren,spotify:track:7vGo6GXSO3A7YO7zZSHt0F
I Think I'll Just Stay Here And Drink,Merle Haggard,spotify:track:3lX7epJ9xWICkf1YauHYgM
Just The Way You Like It,The S.O.S Band,spotify:track:3vYnUycktGU16HBr7cC8oM
The Dead Heart - 2007 Remastered,Midnight Oil,spotify:track:7nfGP5B3Pc508kEb6zL6r9
All Of My Heart,ABC,spotify:track:5OtbeQksu0wey8lWQ7fYgR
Spooning Good Singing Gum,Cocteau Twins,spotify:track:7sCTWCzVB8Tm4Omf0ULG9R
Big Time,Rick James,spotify:track:1IUfUf2iP3s0EgnGcs0l3k
Away,The Bolshoi,spotify:track:5QcQcmeXFT0ayv8sBcnMYY
The Stroke - Remastered,Billy Squier,spotify:track:52KvuGmgcgRdrLMXOtda0E
We Close Our Eyes - Total Overhang Club Mix,Go West,spotify:track:2YQPkrusst8TyAsFAijjpx
Strictly Business,EPMD,spotify:track:1xZdjsAGrY4BUIbIlYy3EX
Love My Way,The Psychedelic Furs,spotify:track:1mqytV5qZcmzG6MgvJCpkQ
Voices In My House - Club Mix,Hardhouse,spotify:track:2eJ7ESDRUruC4tsBGwS3zZ
True Blue - The Color Mix,Madonna,spotify:track:1ev64zBlpSWh5HQwvEhLjZ
No Show,Kool & The Gang,spotify:track:4zuNOFjR9UY9y5QGMkSuz3
Never Again (The Dancer),A Flock Of Seagulls,spotify:track:5yr39WG0cexx3aBL8CbfuA
Procuro Olvidarte,Hernaldo,spotify:track:1Svugw1yFdzOZnH3radfka
Just Can't Get Enough,Depeche Mode,spotify:track:65aJGPXs2i8orwZK9z8x4r
Run To You,Bryan Adams,spotify:track:2RWFncSWZEhSRRifqiDNVV
Letting Go,The Field Mice,spotify:track:19i1awc6eUp0HSs5JtCcfz
What Have I Done to Deserve This? (with Dusty Springfield) - Extended Mix; 2001 Remaster,Pet Shop Boys,spotify:track:4US37670cNpOmMv1t8DIPT
Dear Prudence,Siouxsie and the Banshees,spotify:track:34tFidHrETMAjsiK87WVVW
Smoke on the Water,Deep Purple,spotify:track:0XHWClSz0v6RIaRSGqJH3X
Real Toys,Altered Images,spotify:track:4NAX8NTZhtz7oxyqSLoDxq
Spread Love,Fatback Band,spotify:track:49f1SPD7jIvQuH2WSPDUKV
Slippery People - Club Version,The Staple Singers,spotify:track:6jm6ihfKWvV8BE4VsdtG2Q
You Have Placed A Chill In My Heart - Remastered Version,Eurythmics,spotify:track:0DHLZaTioQnCk8mu6th15o
"New Toy - 12"" Mix",The Flirts,spotify:track:44qgLZ3gjFg95IUNCIqkn7
The Finest,The S.O.S Band,spotify:track:63DTXKZi7YdJ4tzGti1Dtr
"The Politics of Dancing - 12"" Extended Mix",Re-Flex,spotify:track:5kZ5rZ0HnrP3BsmqBOEokd
Tugboat,Galaxie 500,spotify:track:2wSmwBjoS5skbNYAMBi5qG
"Head Over Heels - Dave Bascombe 7"" N.Mix",Tears For Fears,spotify:track:5lwQGZYF4BXOzFtXc5zk8q
Postcards From Paradise (Extended Version),Flesh For Lulu,spotify:track:4PjpIWNbisQbMY0MeDuou2
The Kids Are Back,Twisted Sister,spotify:track:7xzmJPFQAn0O1ZYYtbGRlz
Batdance,Prince,spotify:track:4DbUk1qwcz9KKcUY4t8f8u
The Trooper - 2015 Remaster,Iron Maiden,spotify:track:4OROzZUy6gOWN4UGQVaZMF
K.I.S.S.I.N.G.,Siedah Garrett,spotify:track:62sPYlLqk6L1VZaLTPxfjz
Gunslinger Man,The Long Ryders,spotify:track:4z9jXnvXYvpHQBScZxOkdK
I Ran (So Far Away),A Flock Of Seagulls,spotify:track:4s0QpaeB5a3C9cxNGqPXxk
Red River Rock,Silicon Teens,spotify:track:5X7vdW9Ib2i1nkNlLEstcL
The Real Thing,Jellybean,spotify:track:5u2B5OMYhSyquxOwjt3yq5
Betcha Can't Love Just One,Final Edition,spotify:track:13EMihztWXOBUtSIh54KTn
Going Up The Country,Canned Heat,spotify:track:57460SJgSpCXaRJ9YIYHxy
Eighties - 2007 Digital Remaster,Killing Joke,spotify:track:21T9lWigjSIMg9uD6ZfRnQ
Shine,For Against,spotify:track:236GlsgI5MWIZegLxCozdi
Dear God - Remastered 2001,XTC,spotify:track:6nFdjV1Ko66O111x74K2kn
"How Will I Know - John ""Jellybean"" Benitez Remix",Whitney Houston,spotify:track:1dW1kgruSVDh57IsBfuocK
King For A Day,Thompson Twins,spotify:track:7sRe0zpDlI1e2qSQsesrP7
"Midnight Man - Vintage 12""",Flash and the Pan,spotify:track:2OvJdkFWvFqNsb9SiXpJX8
Mysteries of the World,MFSB,spotify:track:5WYzouzEJIKk0QJjNsiVue
It's a Love Thing,The Whispers,spotify:track:1oxpAzHne9edkXfVyFJt8J
Freeze,Success-N-Effect,spotify:track:4yoQwlMIA1jmyTqkVXeZQ9
Dixie On My Mind,"Hank Williams, Jr.",spotify:track:2IHWabwhSEdpB5XEhaz9zx
Celos,Daniela Romo,spotify:track:4RjEM3PPICm6ng7ZITXZgG
Girl In the 80's - Dance Mix,France Joli,spotify:track:4oweVyqxRlvFQNwiXzIoTp
Bring on the Dancing Horses,Echo & the Bunnymen,spotify:track:5uh98HlgvoJd2zRWAduj2Y
Back of Love,Echo & the Bunnymen,spotify:track:1Duyl7gGd4rqPuUZrlsdCO
I Want To Break Free - Remastered 2011,Queen,spotify:track:7h2yhVxcZOGyQdOwD4Hu8J
Gli Uccelli - Remastered,Franco Battiato,spotify:track:1oBnjk0hdHoClgMvZI8aDJ
We're All Gonna Die,The Verlaines,spotify:track:2dVnh3f8THeqzlzdVQ1Apf
Take It Away - Remixed 2015,Paul McCartney,spotify:track:49VwPtgOSnIDxnbiMjj7hG
Smooth Criminal - 2012 Remaster,Michael Jackson,spotify:track:2bCQHF9gdG5BNDVuEIEnNk
Like to Get to Know You Well - International Mix,Howard Jones,spotify:track:772bRUFcpRAkccmYZqtvW0
Wait for Me,Slave,spotify:track:0rgKsKGP4PeGKj8WpQHCmk
Armageddon It - Remastered 2017,Def Leppard,spotify:track:79OA06zXBdo8pIKJmOft6s
Halo/Halo,Single Gun Theory,spotify:track:5hPsJSgDxjnl2D3cx1THLR
This Corrosion - 12'' Version,Sisters of Mercy,spotify:track:6KXoZTxng4hpLxUWHzQwa1
Mystify,INXS,spotify:track:7LV9R3L1YfTSoefglhUyPD
Dissident Aggressor,Slayer,spotify:track:3sTaTWeSUZlFyrLrXwKfSp
Paris,Taxi Girl,spotify:track:79bZelGWXPOeoHNzpJgy2q
Love And Death In Metroland,Always,spotify:track:0s3cXhbbWCy2YVoVWsQSoV
Tender Is the Night,Jackson Browne,spotify:track:2CzYQ2ktwSMGnA5ypH2a8w
All Around the World,Lisa Stansfield,spotify:track:5Rhihm6Adhmfj6iJZSTFgS
Superlove,Skyy,spotify:track:6lx0oPxsUISs1P8UW0akN3
Heart And Soul,Huey Lewis & The News,spotify:track:3pecdrUzTZjaqrw6iCLTvd
Scream Quietly,Television Personalities,spotify:track:60Z6Xjjc9hC3v0xjWtOKZ6
Dancing With Myself - Uptown Mix / Remastered 2002,Generation X,spotify:track:5DJz5n3Cy1ndkzYZnLBeTv
You Really Got a Hold on Me,Percy Sledge,spotify:track:7zvwxa2s4zIX7y49plhrmo
Crushing Day,Joe Satriani,spotify:track:6LcTp8JrfwRweubbBHfCfw
Panic,Fiction Factory,spotify:track:7tZrUnCPOYKfTBQxhRN2UB
Atlantis,Angel Witch,spotify:track:2xYUwSBBs1xbVVbOPXffhg
One (Remastered),Metallica,spotify:track:0LAcM6I7ijW4VVW0aytl1t
Let's Dance - 2018 Remaster,David Bowie,spotify:track:3ix6K4wZY29bCujrSznwFZ
Let's Dance - 1999 Remaster,David Bowie,spotify:track:0F0MA0ns8oXwGw66B2BSXm
Marinero de Luces,Isabel Pantoja,spotify:track:24UBqV1xJwNUns7nJVIbDu
I Feel for You - Remix,Chaka Khan,spotify:track:04VEU7913wxbcgLOcyqtX6
You Can Do It,Vaughan Mason,spotify:track:5arAvSl4iu2IbIwJ5GoTtR
Zwei - Extended Dub,Electric Mind,spotify:track:019xmuFFRwCNz1VYKswWGT
Jawbreaker,Judas Priest,spotify:track:3T1k6b4zMzA2bW8klvKCcX
My Sweet Delight,Jennifer Holliday,spotify:track:2EtB7LTZ3PpOmipuF0tril
Circles,Atlantic Starr,spotify:track:7iuOtQr6jAaTq0xB6cDuBN
"Shake, Rattle And Roll - Single Version",Bill Haley & His Comets,spotify:track:1rmvCn0AfUx84vcbvxWYwh
Tainted Love / Where Did Our Love Go - Extended Version,Soft Cell,spotify:track:2atm0QTTcVXsN47XSdIY7b
"War - Live at LA Coliseum, Los Angeles, CA - September 1985",Bruce Springsteen,spotify:track:1sTeIjsjonMTTQyffRgehj
Situation Critical,Platinum Blonde,spotify:track:3bdJ7m69yPcbKw9jYyfY0r
Human - Extended Version,The Human League,spotify:track:4cO5nfMKFP3T6kQKcFA8dD
Joy And Pain - Dance Version,Donna Allen,spotify:track:3mCan6xAjkeHN7R5Ph3vTq
Guilty,Lime,spotify:track:3VJF5cMuQjQVZD83fRruVe
Burning Down the House - Alternate Version,Talking Heads,spotify:track:6XlwqMbcTRFavOMgdU7ulg
She Sells Sanctuary (Howling Mix),The Cult,spotify:track:6H6lUvqOL4NjJO8YtV2uyA
Color My Love - Extended Mix,Fun Fun,spotify:track:5q7yg9orQC5vqNEJ0tbI3u
We Will Not Be Lovers - 2006 Remaster,The Waterboys,spotify:track:2deYi0Y5JYvp0mtJl0bJvh
"Once Bitten, Twice Shy",Gangway,spotify:track:5RL0ww2Bprd9PSvYt4bfz1
Do You Wanna Hold Me?,Bow Wow Wow,spotify:track:2hvf4cvCj7stVtS7la1V2Y
Caravan of Love,"Isley, Jasper, Isley",spotify:track:2rbF6oP85x3MqxY0ny8qXq
Wave of Mutilation,Pixies,spotify:track:1yJiE307EBIzOB9kqH1deb
"Warm Weather - 12"" Version",Pieces Of A Dream,spotify:track:27IMcFJ1lv1vFSoKu0qjEJ
Ease Your Mind - Remix U.S.,Touch Down,spotify:track:5VaJs4Uy4hPPFfUnyjtsoG
Cuckooland,Sad Lovers & Giants,spotify:track:39LKcxyxAtKRo9c2dZhHQU
Hanky Panky - Single Version,Tommy James & The Shondells,spotify:track:6zPQghjSi2EiBX75FJDjBY
Calcutta,THE NAMES,spotify:track:3dZMvsCWhmcWnAEZ8Dr6vp
Happy Hour,The Housemartins,spotify:track:6IZWJhXyk1Z0rtWNxIi4o7
Alex Chilton - 2008 Remaster,The Replacements,spotify:track:2g9EvzLR2sYscJQubwKGqu
I Wouldn't Change You If I Could,Ricky Skaggs,spotify:track:5u31iuUgeGsV4HXmLPF8yc
Run to the Hills - 2015 Remaster,Iron Maiden,spotify:track:4Zc7TCHzuNwL0AFBlyLdyr
Part-Time Lover,Stevie Wonder,spotify:track:0ErrsvDylBWZeAUYbqLllv
Sex Crazy Baby,Hasil Adkins,spotify:track:136M25r8Qgjg2nkqvHGCXq
Yellow,Gangway,spotify:track:6NGRCgAkL3FWe0QfOaLAUW
Gold - 2003 Remastered Version,Spandau Ballet,spotify:track:0Z9UkcT1pnrmLciUJPcMMS
I Surrender,Rainbow,spotify:track:7LFvdW2NzuuGBZo02wShNI
Cab It Up,The Fall,spotify:track:4tQbxyThrQmozW0oQqUOaq
Dreaming,Orchestral Manoeuvres In The Dark,spotify:track:6IaYWVDGyEMo7erXpWUCBm
Day in Day Out - Single Version,David Bowie,spotify:track:6wQ164jy0hMA6RiyKknkQl
Wild Ambitions,YELLOW MAGIC ORCHESTRA,spotify:track:5552sUVHDzM8TsrJy0fspG
Beggin',Frankie Valli & The Four Seasons,spotify:track:7wVQgvVVX4penHEGrF5eCL
White Wedding (Parts 1 And 2) - Shotgun Mix / 24-Bit Digitally Remastered 2001,Billy Idol,spotify:track:4OYRJv1tcOEPe38Fwc7y1m
Mysterious Lady,Norman Riley,spotify:track:7fNC2R15x7tl2ryPMVw6av
Would You Catch a Falling Star,John Anderson,spotify:track:7IpGuaGtlcwcWUdjsH52mQ
Anything Goes,Guns N' Roses,spotify:track:7iLeu3HnJt7hkxfrqO55V4
Betcha' Wouldn't Hurt Me,Quincy Jones,spotify:track:3hFn4a9yRk3IM9Qqmf3W8b
Alone Again Or,The Damned,spotify:track:34dAKRy0pfwYylW7ivoOgy
Annie's Tellin' Me,Tom Verlaine,spotify:track:4KOUYBQBGXc73iQUwfoHbC
Heavy Metal,Sammy Hagar,spotify:track:1XxUDJp9zsjd6tBSvE3la4
You Really Got Me,The Kinks,spotify:track:2EMXPq6seGkHMBp9JTX1Qo
One,Metallica,spotify:track:64Ret7Tf2M8pDE4aqbW2tX
Heaven and Hell - 2008 Remaster,Black Sabbath,spotify:track:3Jl5GohfNwozDmpzmQBLDI
Expected Way,YELLOW MAGIC ORCHESTRA,spotify:track:28d9xTIsoOPu7pueDwYn76
"No Devotion (12"" Version)",Revolting Cocks,spotify:track:3RqPc8eoHcac8xp4BkpYRk
You Can't Have Your Cake and Eat It Too - Vocal,B.T. (Brenda Taylor),spotify:track:7kYW2EsK6YV6gwB32HmbeI
Everybody Else Is Wrong,Utopia,spotify:track:5jUt6hQoCT6mD0Q39j12kh
I'm Gonna Knock You Out,Peter Zaremba's Love Delegation,spotify:track:7jd5lNqeCQjOmZl48UCKRn
Just Like Heaven,The Cure,spotify:track:4NnWuGQujzWUEg0uZokO5M
Naughty Girls (Need Love Too) - Special Extended Version,Samantha Fox,spotify:track:46opfBds10h1rf9MuEEbKB
Planet Earth - 2010 Remaster,Duran Duran,spotify:track:4PlEBjN3ntjMWDF5gvGDSF
Padam padam,ÃÂÃÂdith Piaf,spotify:track:194uD6fRM58ztn7Z1Mfyr2
Legal Tender,The B-52's,spotify:track:0H949NmTv9xUgMiJpls5f7
Slow an' Easy - US Mix;2009 Remastered Version,Whitesnake,spotify:track:1EDCeq3qnL4CP2CMzqWDFy
"Flex-It - 12"" Extended Mix",Re-Flex,spotify:track:5h3qbW1a8WMCvHTPwPmUxv
Litany (Life Goes On),Guadalcanal Diary,spotify:track:2Mxo4rDzbZey2i9mAs9nM1
Fascination - Extended Remix,The Human League,spotify:track:2uynnXFdf3wBIjOEHCB9up
Dum Dum Girl - 1997 Remaster,Talk Talk,spotify:track:4QeaktgSB7T5m9dap9gTDZ
Winter Sky,Big Country,spotify:track:4chtvEtY1xrqFMBaFcYce1
On and On,Raven,spotify:track:0I8GYvagJ8VJfnxORr8SD7
Ink and Paper,Modern English,spotify:track:1DheUW5glWYeiTFySLPMIh
Bang Bang,Iggy Pop,spotify:track:2iDhJuPbwgRf7Cnjw4YcJO
Break-Thru,Gordon Mills,spotify:track:6OsCQFPUplaUZb1l7wzrO2
Under Pressure - Remastered,Queen,spotify:track:2fuCquhmrzHpu5xcA1ci9x
Creeping Death (Remastered),Metallica,spotify:track:4q9QVIaLqjbcoqeCfM2zan
Birthday,The Sugarcubes,spotify:track:55MEbqyxZphjB0beZ7YT0f
Straight Through The Heart,Dio,spotify:track:47GHIkaM6b6HLeMR6s8xFY
Welcome To Hell,Venom,spotify:track:6fPxWiaaGqSzDcIpt138jn
Away,The Bolshoi,spotify:track:2GRL794l2R1SFJc3Z0pIlr
Lady Madonna - Remastered,The Beatles,spotify:track:1vExNjzyD2HNEx9sjGmOGn
Jerkin' Back 'N' Forth - 2010 Remaster,DEVO,spotify:track:1W9GMLzc3dMZe11t5s273w
The Last In Line,Dio,spotify:track:1V0p6CzMVJPtAPpJPA2O6d
Here I Go Again 87 - 2007 Remastered Version,Whitesnake,spotify:track:51tuwnX8OPvQCXoBnjMkfF
Why Me?,Planet P Project,spotify:track:6ryzreUu7YzUGjWNBpkPKp
The Bottom Line - (12 Inch Remix) [Edit Version],Big Audio Dynamite,spotify:track:4TfQmpFlcoJfeTyuz4fR6G
Saving All My Love for You,Whitney Houston,spotify:track:1lx8ddGT5wCD6W2xmLeRKG
Bad Connection,Yaz,spotify:track:4ufHU3MmEhKqgCVZR5uAHH
Fools Gold - Remastered,The Stone Roses,spotify:track:2mv6GY70UsHiTCGQZ4JfgC
The Way You Are - Single Version,Agnetha FÃÂÃÂ¤ltskog,spotify:track:49i5HlNydX8qTJQOy3sXoE
Up the Hill Backwards - 1999 Remaster,David Bowie,spotify:track:3GcZo0UTPdf5ELGK8AcFuZ
Goo Goo Muck,The Cramps,spotify:track:2pkzHv4KUdJg3fFrCYtbQg
Back Track,Cerrone,spotify:track:1BvY1YfJ1dUOWbFN7SHfGc
New Love Here,Eyeless In Gaza,spotify:track:2Jvqcr2zfFCGYZBxy2j2Yk
It's a Sin - 2001 Remaster,Pet Shop Boys,spotify:track:6IDHh3FcwLVcG5NsmpQgg2
Bad Company - Remastered Version,Bad Company,spotify:track:68Oe8ekSI3cbwumHkgOLsX
Sleepwalk - 2008 Remaster,Ultravox,spotify:track:2I8BBwukyx64a3TVHmN5RA
Wake Me Up Before You Go-Go,Wham!,spotify:track:5XsMz0YfEaHZE0MTb1aujs
Penthouse And Pavement - Remastered 2006,Heaven 17,spotify:track:3EMi2tHzTy4kYg0HBqfqcx
Only a Shadow,The Cleaners From Venus,spotify:track:7ywFYGPvsy0dMIfhYeOBu1
"So Good, so Right",Imagination,spotify:track:5sp2rrclLmZ3FqtdzHeqms
"Round And Round [12"" Version]",New Order,spotify:track:1NFo3pYhXm89rh8XlfpYqP
Radiation Sickness,Nuclear Assault,spotify:track:7ouzafITrJhhuoFR99MPYL
Sledgehammer,Peter Gabriel,spotify:track:029NqmIySn1kOY305AAhxT
You Keep Me Coming Back,The Brothers Johnson,spotify:track:2TGYuiV01vIAVOlaO52yX1
Burning Down the House - 45 Version,Talking Heads,spotify:track:2VNfJpwdEQBLyXajaa6LWT
Talking in My Sleep,The Rain Parade,spotify:track:1xlJBSSqxewoHK8ruuhNnu
