Bed & Breakfast,Murray Head,spotify:track:2EezZrct9l2dp1Jj6SGE2D
Strangers,The Kinks,spotify:track:7obb4s6A7gf0Lc2AGxodMy
It's Gonna Be Easy,Doug Sahm,spotify:track:37Ts5bHBySEbybTALSvlQl
A Time and a Place,"Emerson, Lake & Palmer",spotify:track:42XOPI9XdsfqbvVux7qrif
You Can Get It If You Really Want,Jimmy Cliff,spotify:track:2QKh6t4JnWeTnzQpkNXhzW
Why Can't I Touch It? - 2001 Remastered Version,Buzzcocks,spotify:track:037DAJ2ClglNQbEvXpGav4
There Ain't No Good Chain Gang (with Waylon Jennings),Johnny Cash,spotify:track:5B5iKxCoj1ny3yzeXkABgA
Texas (When I Die),Tanya Tucker,spotify:track:7iinaW517AH0bUXbAKN8JB
Love Having You Around,Stevie Wonder,spotify:track:7elEq38tXxEvS4DeXRTHKK
Cold Gin,KISS,spotify:track:5552ijyTuHoPCTMDSEM1SM
Iron Man - 2014 Remaster,Black Sabbath,spotify:track:3IOQZRcEkplCXg6LofKqE9
Electric Funk,Guru Guru,spotify:track:3e0yN4gWwwXjGSzARaQlJs
Love the One You're With,Stephen Stills,spotify:track:3NNkJwiHucP5QyUEAIMXra
Dier Not A Lover,Bloodrock,spotify:track:2YonzRdVfMCf6zvozYlgwq
Two For One,Grant Green,spotify:track:3atWOeMJDAaipbbtcQT7VJ
Open,Frank Diez,spotify:track:3OTkbyJ9EhN6rrP9w9CBLI
Apple Scruffs,George Harrison,spotify:track:26sMc53X5ptxM2xgGBROzG
The Wake,Oasis,spotify:track:2jjbmVvnqqmcRoBGMf2OSG
Here Comes the Weekend,Dave Edmunds,spotify:track:5iup0LXgEnQwJ5kfJJStwT
Tonite,April Wine,spotify:track:7GdW5OjL0q56JTZqGW7tnw
The Ballad Of El Goodo,Big Star,spotify:track:1B5kQto4k99RG67TJEwwS5
Gimme Your Head,Bloodrock,spotify:track:5pNlXKO3loroCKTpdWZqGg
50 Ways to Leave Your Lover,Paul Simon,spotify:track:6Qb7gtV6Q4MnUjSbkFcopl
Vida De Cachorro,Os Mutantes,spotify:track:1YrTAW0NP5dniCPFqoG8CT
When She's Got Me (Where She Wants Me),David Allan Coe,spotify:track:40xAtjGT0tfmQeBHeXD5qj
Atwer Abroba,Ebo Taylor,spotify:track:1Xb0Oz9aunX1lpq9T29PWh
Long Hard Ride,The Marshall Tucker Band,spotify:track:2RbDDV79mYeyZv7LJsU8Sj
Midnight Flight,Moxy,spotify:track:62psWhUZlN2gvGbLFjGMNn
Communion,Dizzy Reece Quintet,spotify:track:2jZNXb2wvMI8aVfKzZzbpF
War Pigs,Black Sabbath,spotify:track:0W35nxtHtFlseSojmygEsf
Do It Up,Riot,spotify:track:2oix3cyreeYpvd1LBnEu6o
We're Through,The Hollies,spotify:track:5ZtfnXND8dgBljCTwuSunP
Then Came the Last Days of May,Blue Ãyster Cult,spotify:track:60TYdVs6TWIsAJ1MPRdv59
Gypsy,Black Sabbath,spotify:track:6KaZvFmzSCtg82zGhzbAkR
Thank You Friends,Big Star,spotify:track:7ARZaEbVZCNZFps0yc8Vwa
The Door Is Always Open - Remastered,Waylon Jennings,spotify:track:081ZC35g9Bw5rZwZ5oSixz
Bath Sister,Jody Grind,spotify:track:6UuDCGWH20DcMAyEH94SJC
My Love - 2018 Remaster,Wings,spotify:track:0Oj0TT23GBH2XuHAaSsloH
"Spear For Moondog, Part 1",Jimmy McGriff,spotify:track:7oGPVH8rjIIGm6yUjjw5Fa
Family Reunion,David Allan Coe,spotify:track:48E44vt6TAntuSRps4TJZa
Sultans Of Swing,Dire Straits,spotify:track:3LTMnFa0hhwisyq6ILahyj
Cruel Sister,Pentangle,spotify:track:6lUc153KdiDeMpHCMyQ9e2
Master of the Universe - 2007 Remaster,Hawkwind,spotify:track:1EuE9UdfV3Jk2N8eRNjpA7
Yellow Magic (Tong Poo),YELLOW MAGIC ORCHESTRA,spotify:track:12x2jPGYAjdiyemtFuqeU0
The Edge Of A Dream,Minnie Riperton,spotify:track:5avl6vGpqgu0t44hUBqD7R
Whole Lot Of Love,Bobby Shad and the Bad Men,spotify:track:5lwcoiypoSUvKImy5aWt99
Mercury Blues,Steve Miller Band,spotify:track:6lb5d1r1QUeNb5UmM9V5nm
Aguirre I (l'acrime di rei),Popol Vuh,spotify:track:0M1pNHDApusajHZrITwyMT
Symptom of the Universe - 2013 Remaster,Black Sabbath,spotify:track:7lwCPihf6s0609Q5uBjXrF
Wolfman Jack,Todd Rundgren,spotify:track:7gYEcnIrG2MZsHHlfihStV
She's All I Got,Johnny Paycheck,spotify:track:5lH8Maw1VX0QUeV5qAypDZ
Ramblin' Fever,Merle Haggard,spotify:track:7GwnjMIdDZzA1xndx9RRT9
My Mistake,Split Enz,spotify:track:5SPjxjWZtZFswdOM0wWIdx
Dancin' is Alright,THP,spotify:track:0wDiEQ3Yr6nir88CASmt9C
Sneakers (Fifty-Four),Sea Level,spotify:track:733EU6v3WTL1T4kLEn5FBr
Chris Cross,Jimmy McGriff,spotify:track:29csNDTbPK8FK6n1AGZrIc
Marie Laveau,Bobby Bare,spotify:track:6yFIzIxyTVRfVeSTTvtEBt
Pure Love - Remastered For Buddha - May 2001,Ronnie Milsap,spotify:track:2MmNec9D9QDfazXDXBbOxo
Steve Miller's Midnight Tango,Steve Miller Band,spotify:track:2RrpVlFjLyHb6xLjUqooOp
Don't Let Go,Isaac Hayes,spotify:track:0bFGteEuBXbVd0fbV2XpD3
The Jeweler - 2006 Remaster,Tom Rapp,spotify:track:41nG1k3peFr8xuYRmlXcKM
Gimme Three Steps,Lynyrd Skynyrd,spotify:track:0vSiz90JRxvYsbCTx84oVM
Painted Lady,Willis Alan Ramsey,spotify:track:7hCMdUee5cbSfXSCO5ASez
Curiosity,Brandye,spotify:track:7mQ75BDm9KBieYtjdZyGEH
My Drum,The Osmonds,spotify:track:0DKCD3tDuNRLSmisTo5B8V
Piece of Mind,Idris Muhammad,spotify:track:72wP2qnBz48qHEutvvnpfY
"First Thing In The Morning Including (a."" Last Thing At Night"")",Skid Row,spotify:track:19HUTpcCxBtX4obHG2z0KL
Love Jumped Through My Window,Arthur Lee,spotify:track:7Lavc7jaOWRTSrxxACOM4p
Wish You Were Here,Pink Floyd,spotify:track:6mFkJmJqdDVQ1REhVfGgd1
Satori Part III,Flower Travellin' Band,spotify:track:5QrsQnZx93xcZkH464br43
Pablo picasso,The Modern Lovers,spotify:track:3ITpdojeIb2w29zbZPWAdA
"Willie, Waylon and Me",David Allan Coe,spotify:track:08o4rFPHQI5NpltWzM5qhy
Won't Get Fooled Again - Original Album Version,The Who,spotify:track:7iLGljK0LNpGamQQEOuCRC
Only One Winner,Nazz,spotify:track:1t7M9JRG6WJAje7mGGGhoC
"Better by You, Better than Me",Gary Wright,spotify:track:4yEKeHa5qVNCv0fFSPzKuI
Robot Race,Dillinger,spotify:track:3wseU0nuPIvGNVduwq5TCK
LlegarÃ¡ la Paz,Pappo's Blues,spotify:track:4cAfEMvHwtXxMfiDz7ydUm
Groupie (Superstar),Delaney & Bonnie,spotify:track:1M1bgj82BnAPDv4XBc9sDy
Roy C's Theme,The Honey Drippers,spotify:track:707QFhnQX6zAGfYywkmm7A
P'S March,Focus,spotify:track:1Mf6CQ0WZevXZf4BAM5Nit
Backstreets Of Heaven,Strife,spotify:track:5TXXznDZHhg0pYpaDSbO0G
You Really Got Me,Van Halen,spotify:track:6ejipC6dh8CGi2WiUACOvN
Cosmic Messenger,Jean-Luc Ponty,spotify:track:5ePk7GMQIBbvgqVVQH8Xes
I Love You,Weldon Irvine,spotify:track:0kmAuNheB4u0rHToopLLzd
The Man Who Sold the World - 2015 Remaster,David Bowie,spotify:track:4mWahKerLaVddUjb8d1Q4Q
Black Dog - Remaster,Led Zeppelin,spotify:track:3qT4bUD1MaWpGrTwcvguhb
19th Nervous Breakdown - Mono Version,The Rolling Stones,spotify:track:21ElXnithj4MX8E4rg5lh8
Blud,Little Free Rock,spotify:track:2TR8WzHWhI8csiZioRooVb
Cars,Gary Numan,spotify:track:6HZ67VImxqr8aMBEEhblzf
Seasons in the Sun,Terry Jacks,spotify:track:0X3d9gx7UDYgcwwkgTeNLR
The Wizard,Uriah Heep,spotify:track:4Q0PJHGP234lrCugzRQzvs
Ooh La La,Faces,spotify:track:4lJ6YVXQ0jUk5ILu0PSrA4
"Love, Love, Love, Love, Love",Pacific Gas & Electric,spotify:track:4nk4MLqzXIWgPjYiEC6yda
Echoes - 2011 Remastered Version,Pink Floyd,spotify:track:6nfXfoFwVyQZ6AJjokeFzi
Aime toi toi-mÃªme,Ilous & Decuyper,spotify:track:4tuOKF5OedWq4QOgu58Gsm
Song For The Bearded Lady,Nucleus,spotify:track:4kcZIjw7VUnQiAj2LUAnlh
Kraan Arabia,Kraan,spotify:track:6aqqc5B1r2Mv9wO6bd7m4L
Homework,Sam Samudio,spotify:track:6OL1kchjgQ47qqxsHopIB8
Dagarnas Skum,RagnarÃ¶k,spotify:track:7JV9e0hj8h9nDv47y3iKIo
In Summertime,Ronnie McNeir,spotify:track:3whyiGGtwA9IWq7vsQgPMs
Would You Believe In Me,Jon Lucien,spotify:track:1Zt2EYOFCl0oXuwlXpNuJJ
Stone Woman,Dust,spotify:track:0Lnu4w1jUyvbg9Qlz7yBds
Sweet F.A.,Sweet,spotify:track:4jCIvvRyUUTcLejqlhrcEB
Jessica - Unedited Version,The Allman Brothers Band,spotify:track:7kl337nuuTTVcXJiQqBgwJ
Father And Son,Yusuf / Cat Stevens,spotify:track:62IEgHYfHy0969CK16IcbK
Show You the Way to Go,The Jacksons,spotify:track:3gGy2V4n2vELDCyuioZLYh
Roadrunner,The Modern Lovers,spotify:track:5E5HYgxGMp3BPakHGfKfIB
I Had A Dream,Audience,spotify:track:2SORkn2hplLGuEXbDxxhmd
Make Me Smile (Come up and See Me) - 2014 Remaster,Steve Harley,spotify:track:184QpO8ZchGncbNyJe9SDT
"Piece of My Heart - Live at CNE Stadium, Toronto, Canada - June 1970",Janis Joplin,spotify:track:4YeMG2lTuPNgQHmlcDYoMO
Righteous Life,Sergio Mendes & Brasil '66,spotify:track:2V0GIQbLjYzoqGoW7FFjFI
Your Pretty Face Is Going to Hell - Alternate 'Violent' Iggy Mix,The Stooges,spotify:track:0Aveu2KsriohUafrrerz1F
Rockin' All Over The World,Status Quo,spotify:track:2oUeXNq3vYqB60LB1D219g
Catch Your Train,Scorpions,spotify:track:12fkVfDySlE3eE4M4EY8Jk
Get It Up For Love,Ned Doheny,spotify:track:1pcG5AKS1PTa5sz9cBOCLZ
Portable Radio,Daryl Hall & John Oates,spotify:track:0EwbkZ6DAa3ChsyWClVRDf
PoseÃ­do del Alba,Pescado Rabioso,spotify:track:7mIcuiUK2oq4PJSuDeY2Lw
Mina fotspÃ¥r fylls av vatten (Live from SvR Midnight Hour 1971),November,spotify:track:5XPwsnOVnrLBqJceMUASt6
Rainy Days And Mondays,Carpenters,spotify:track:1929eIMhIFVN00MVzejNne
(There's Gonna Be A) Showdown,New York Dolls,spotify:track:3SpYUpfLZmN4531RKmEict
Snakebite,Stone Axe,spotify:track:0wbNCy3sTyPDe4G1wn8KBK
Sweet Thing - 2016 Remaster,David Bowie,spotify:track:4gBRHnW9xeNABYDR2zV8Jj
For Those Who Do,Skid Row,spotify:track:4VTDv4bijYrzprtbCrWtT5
Humble,Bang,spotify:track:5PGkmesoetSw3qk9SsUDqb
Bloody Well Right - Remastered,Supertramp,spotify:track:1Hiu8xfwvnIguinacEyDoY
Dedicated To The One I Love,The Mamas & The Papas,spotify:track:6vKbQNjsiHxVtVBSKb3E4D
Slow Rollin' Low,Waylon Jennings,spotify:track:5HXd9rBn5NM7tZ6elnZ9f0
Sandy Sends Her Best,Waylon Jennings,spotify:track:05qM5R53jyYjymJRfXsDnX
Wicked World - 2013 Remaster,Black Sabbath,spotify:track:7n5JBulRFW7P1WqjhhjbrI
GavilÃ¡n o Paloma,JosÃ© JosÃ©,spotify:track:4Wg6Ggb6DY8OmlFQvvHO9b
1958,Jonesy,spotify:track:2ECd4vOuYHdVSSakcttaut
Chasin' Ladies,Dust,spotify:track:3wHkmGFTcEL1XgaTQ7H5f0
Message In A Bottle - Remastered 2003,The Police,spotify:track:5xD021bM8VbqrhCVhxRozx
Gonna Be More Suspicious,Robin Trower,spotify:track:57jrhOOb7l1ZGb9H4Ckdzb
Simple Man,Lynyrd Skynyrd,spotify:track:1ju7EsSGvRybSNEsRvc7qY
Wie Der Wind Am Ende Einer Strasse,Amon DÃ¼Ã¼l II,spotify:track:5yRJC0oMZYLqAHCjwKigGn
Unco-Up Showband Blues,Skid Row,spotify:track:5M3wUN4UxJOz0kmYSQSiRq
Alethea,Robin Trower,spotify:track:46QVcBFs6Oct4OyzuMrdgU
Railway And Gun,Taste,spotify:track:0T7D44xh8oCPLYDfi8HIo7
Jet Boy,New York Dolls,spotify:track:7h72gwGqjwnJC83qCja93c
Take A Little Trip,Minnie Riperton,spotify:track:5n5Z1gVpQ51FOZp1MUHmV0
Mina fotspÃ¥r fylls av vatten,November,spotify:track:6jm6C4Isk4EIAIYU7aHnMB
Reasons,Minnie Riperton,spotify:track:1R6D7X8mDFoFJN7pQYu4Dn
Psycho Mafia,The Fall,spotify:track:4TymgNWHHSsT7tkAnhOCuu
Life Goes On,The New Dawn,spotify:track:7fuex6dOgeTNKqcDqP1UQY
I'd Have You Anytime,George Harrison,spotify:track:0z9wCwoW9rNZaAuL2UIwwV
My Heros Have Always Been Cowboys,Willie Nelson,spotify:track:2FCwfrK11T0gpUF3uePM1b
ODD SONG,Ancient Grease,spotify:track:5WpAGMLSaQuMIfbYcSEjuQ
Amanda,Waylon Jennings,spotify:track:62jCWEeUEIjzli6sFPcFnK
Only You (And You Alone),Ringo Starr,spotify:track:42eZC1LaQ3qioZWVLisVT6
Show and Tell,Al Wilson,spotify:track:2vhW1OmaZDYi63Da9d8R5o
Dream,Little Free Rock,spotify:track:0s9WaEn7JpqqrHdQCfFACB
Pictures Of Lily,The Who,spotify:track:123RhEzztpTieeEd13NexC
We've Got Tonight,Bob Seger,spotify:track:3mj46XKJ2aEm1z7ZvbwyLi
Insoluble,Pappo's Blues,spotify:track:5DmkXesqnNQSEMgvXfK51F
Stand Out,Love,spotify:track:74OXxF3dWJUoPbl8RdrakM
Distant Sun,Captain Beyond,spotify:track:63YPMdjiAZySfpaPS0Lzn8
Give It Up,Kool & The Gang,spotify:track:24aao7hfti9iLH0ykuC1OE
Hero's Death - Remastered,Mythos,spotify:track:1FnkeQUIg6oXiz0rwOs33Y
No Witch at All,Hard Stuff,spotify:track:05JK5lPvE4ASUqnZilxAe3
Hey Man - Bonus Track,Jericho Jones,spotify:track:0CdiS6bQTzCYD6NtchNeKm
The Song,Ertlif,spotify:track:1m0naritoscFl5YvXEX0Xm
Prickel Pit,Rufus Zuphall,spotify:track:1pWbJa6UiyKhc9mjDSWLcy
Peace by Peace,Crabby Appleton,spotify:track:6yXAL9IJstibFw6vyY4MmR
Money Slave,Edge,spotify:track:4xVjF1RTrEGTEDwaAuGqPN
In The City,The Jam,spotify:track:250dZY8xYbhHGQpM6bgL52
Too Little Room - Remastered,Ice,spotify:track:6XTqlyr7Ec1q7lWcoZFqyc
Spinning Wheel,Jimmy McGriff,spotify:track:3CULSIdzFdphd6LsiXs87B
When Your Parents Go to Sleep - 2003 Remaster,Kevin Ayers,spotify:track:5HUFcB9PHfVcvXF44u98SI
Lookin' Out My Back Door,Creedence Clearwater Revival,spotify:track:1DLRkp0qE8cui1o94OcOCx
Band On The Run - Remastered 2010,Paul McCartney,spotify:track:1H4idkmruFoJBg1DvUv2tY
As The Moon Speaks (Return),Captain Beyond,spotify:track:3lnAnDpGvZVS7EhgMp2PeE
The Big Spell,Audience,spotify:track:1v2JV04W7JjA9SUdaRA1aq
Change (Makes You Want To Hustle),Donald Byrd,spotify:track:6rdqOrVDOSrTCuty0748AV
The Executioner,My Solid Ground,spotify:track:5OpikbxOR5jLKOKatsVilV
Kekse,Harmonia,spotify:track:4ehFjZMyGIkjv3t35zutCc
#9 Dream - Remastered 2010,John Lennon,spotify:track:4ZVWvCUwsOnIGmJMj71RkG
Heart of Gold,Neil Young,spotify:track:6XDdmCAuodZfXtEgJcxpS2
One More Night,CAN,spotify:track:6pfaTABvcM7hikfMVslaTg
I'll Always Love You (feat. Prince),94 East,spotify:track:3OTzOE4L97eB119qRPBu2C
Killer Queen - Remastered 2011,Queen,spotify:track:1CnN9udhDokm7lARZjMji2
Reminiscing - Remastered,Little River Band,spotify:track:34D6mvDTAPypm92EPs8Rxa
"Your Hands, My Hands - The Four-Hands Song",Heklaa,spotify:track:5AXdEMYOjQl7tSwe1XHhQM
Tonight Carmen,Marty Robbins,spotify:track:4Owfqydj0rADlowC1kL8W8
Miss Evil,Frijid Pink,spotify:track:7jopNDwHOKtTl5QtHwsqG3
Oh Louisiana,Chuck Berry,spotify:track:0j4srnVsqW8qXpZ5zlwzoI
In the Summertime,Mungo Jerry,spotify:track:3RNyGLgSvmVRZ7xKUp8Wgd
Piss Factory,Patti Smith,spotify:track:5KLKSxNQQqg8hOaHVqEwuk
Shame The Devil,Robin Trower,spotify:track:7xN5f8VH4ndZlIQ5PtfKWI
Peace On Earth,Ebo Taylor,spotify:track:5AarKoTInrX0cN9CsRRFWA
Children of the Universe,Banchee,spotify:track:0LbFMaYXGIAVOmxUv1Ox0g
Minnamoto's Dream,Jade Warrior,spotify:track:1kP0ZvExeHh8e2f3IW9RFm
Stay With Me,Headband,spotify:track:5TQ6xgrNd6KSMa3L1bkW5t
Life Is Hard Enough Without Goodbyes,The Osmonds,spotify:track:2OkK7BE93lRpSw9dMmUi9x
When I Need You - Remastered,Leo Sayer,spotify:track:2TcwEYyydQuEMJwdmSgVLD
Old Man - 2009 Remaster,Neil Young,spotify:track:16XeptMdlJTWWeIrwEAOvv
Give It to the Soft Boys,The Soft Boys,spotify:track:0kDaSx4SyZIdrQIUNXtvru
Middle Of The Night,Lalo Schifrin,spotify:track:3riHHRLTFgNfegt7fzdm8i
Bring On The Lucie (Freda Peeple) - Remastered 2010,John Lennon,spotify:track:3BEqiYIPoWe7Rmveh4ZkkT
Let's Take It All,Spiritual Concept,spotify:track:02JZTwhETBzgyov794DaNm
Moonshadow,Yusuf / Cat Stevens,spotify:track:4xUlOxwGkdhsQuirAp5RfV
Red Clay,Jack Wilkins,spotify:track:3Mbkhd9tdMwyqbrVE3IODX
Bananeira (Remastered),EmÃ­lio Santiago,spotify:track:3Z2Thcr0SrxKcQpvouDpR8
When?,Spirit,spotify:track:0MkaGIWx46KFxehzmS22NR
Spoon,CAN,spotify:track:4yGEFWe0tZzYGkNtJRg9bf
Comfortably Numb,Pink Floyd,spotify:track:5HNCy40Ni5BZJFw1TKzRsC
A Treatise on Cosmic Fire - 2015 Remaster,Todd Rundgren,spotify:track:4Og9r7cKcdX7EMvrO09G0h
On The Boards,Taste,spotify:track:0SrSPUIcRyIRqODdFLXNUy
I Write the Songs,Barry Manilow,spotify:track:12FZTFRyd4RBzvKf8RB0zO
Sugar Magnolia - 2013 Remaster,Grateful Dead,spotify:track:2EB1aFLWC4uIfld5Z3Yj1z
Medusa,Trapeze,spotify:track:0l3tUuFdY2311pZlOO3UFJ
Our Lives,Minnie Riperton,spotify:track:6DoRnkX68ssnsHHZmgGySB
The Dawn,Osibisa,spotify:track:3HOFGYENl31V7pCHjfQ6On
Give Me The Sunshine,Leo's Sunshipp,spotify:track:2Lh7YrkANGELhT8pOUlht1
Teenage Confidential,Flamin' Groovies,spotify:track:0JD3crz9UzPRAVH7DEg3yO
Georgy Porgy,TOTO,spotify:track:5jQcJ2st6yHWhUBjoDoZPH
Fire In Cairo,The Cure,spotify:track:2ZZjAZLVSnHJnSNFN5AUCd
Mushroom Man,Road,spotify:track:0oqj4AlEbYaIrP8SqFgrl5
You're Still My Woman,B.B. King,spotify:track:3DbVBS8JojEGfuLOZRGgWX
Give and Take,Santana,spotify:track:3UPFgKojRDeqLoMz5bL5yr
Keepin' Time,Trapeze,spotify:track:3hDkfpoRJP6hUIw7dSaS8J
Babylon,Aphrodite's Child,spotify:track:2Zk1YHAVkX85hREoZ39s0t
Science Has Gone Too Far,The Dictators,spotify:track:1RgLU6YM8GsPxaI4rvAsJy
No Expectations,Johnny Cash,spotify:track:6UmM8fLNocoX84m63pvuQK
Sodoma y Chabola,LeÃ±o,spotify:track:5EzHx8gWRyoDqFI5D9AT3U
You Ask Me To,Waylon Jennings,spotify:track:4yND0gfKnrscti9Ux8vv9E
Shake Some Action,Flamin' Groovies,spotify:track:0Afai8u1STCaDyTTm1gEZf
Tears in My Eyes,Uriah Heep,spotify:track:3eRSOCM29LHvtG2uTTkNMs
Band On The Run - Remastered 2010,Paul McCartney,spotify:track:5mvzwam5cSWhTgc9m8cTOp
For the Turnstiles - 2016 Remaster,Neil Young,spotify:track:46m0x6s8YzccwTPwqyMiaz
Kools Back Again,Kool & The Gang,spotify:track:6BWxath2XBDL2HIgui01lF
You Never Even Called Me By My Name,David Allan Coe,spotify:track:29TI0GvP5gMQMPTJjdMe0H
Holdin' on to Yesterday,Ambrosia,spotify:track:5nFpF7jUbVnnDMXIu65aoh
Making Plans For Nigel,XTC,spotify:track:1XT5kxg6Tk0ukCO2vBQN4v
Set Me Free,Sweet,spotify:track:7iWYgEFFarAhSroaWK6oKA
Our Home,Bang,spotify:track:60MPxXmuVYhePPifPjQEqr
Ramblin' Man,The Allman Brothers Band,spotify:track:2Q7LpkYrS0PBpoq3iCqypa
Love Lock,Mtume,spotify:track:7BmXtkDCrg5sxve7TVpglM
Out of the Darkness - Into the Fire,Moxy,spotify:track:0YYQmvZTI5Tu4NL2TI0MVv
An Awful Lot of Woman,Skid Row,spotify:track:3AimUobdFZCisJGDpSZmbV
Mr. Powell,The Ozark Mountain Daredevils,spotify:track:5eMLHIAlctD902tHhsem6q
Sheâs A Dancer,Crack The Sky,spotify:track:03NsOnmuc7PoLzqlp1lwfT
Machine Gun Etiquette,The Damned,spotify:track:48GOwbKFjgc5zww69hALGV
Rock On,Bolder Damn,spotify:track:7oIOS47Vvz4846Uq8g1Cn0
Man Said,East Of Eden,spotify:track:5aelBbDtgJ1iyNmK7wrlim
Many Rivers to Cross,The Animals,spotify:track:2K1g6ZjdpC7ulpo3WN76fW
Charley's Girl,Lou Reed,spotify:track:70tBw295bLL8B13Jg3SNUs
Adrie's Dream,Sandro Brugnolini,spotify:track:54va6BEMi0UbEelkAKOW3u
Up Around The Bend,Creedence Clearwater Revival,spotify:track:5XPv30nzEZOFS10mKGbtQ7
Gerda,Bernt Rosengren,spotify:track:5aCKcZjzOdpeZZQeNHkGEg
Midnight Plane,Ronnie Foster,spotify:track:0lrPSfbIcTP0BMiEexlh5L
I Can't Dance Without You,Theo Vaness,spotify:track:6d9TEHoIgmc25jEJEEBseD
Sorrow,Blues Creation,spotify:track:2InnlRp19dnk2giYf7DCZ7
Who's This Man,Growl,spotify:track:58s4vtRdwBv84wVI7ihmiC
Ram On - Remastered 2012,Paul McCartney,spotify:track:6qZMXw0fs9qI8b4Nl9ntEQ
Sugar Stone,Tapiman,spotify:track:4E5hrWxaV85Xuyg6u1D64D
It'll Be Her,Waylon Jennings,spotify:track:3OKuWhudVOq3FP1j3Ytqck
Dreams - 2004 Remaster,Fleetwood Mac,spotify:track:0ofHAoxe9vBkTCp2UQIavz
On Green Dolphin Street,Grant Green,spotify:track:3xmownN7BE3rIhi9r037Us
Fancy Dancer,Bobbi Humphrey,spotify:track:17gs4SRXnoBiDISkgW7nrp
Dust Filled Room,Bill Fay,spotify:track:1pl730o1mIy78Tz5bG9YVV
Na baixa do sapateiro,Banda Black Rio,spotify:track:0EFgQPupq1L5Xk8pipKhI1
Hurricane,Bob Dylan,spotify:track:1lqMLr9Wj7SM2F9AikGcxN
Quebec,Sweet Blindness,spotify:track:1r6ACiXQEiwn95S8tUxbtP
Till The End Of The Day,Big Star,spotify:track:52e3FPcv1e6GYIIVENdgWy
Take A Little Trip,Minnie Riperton,spotify:track:4l222W8FMen5F1kfirJSXi
Do to Me,Lonette McKee,spotify:track:4rgQKevnkzjEL3HI9vEoN0
Fallin',Bloodrock,spotify:track:1PDHKMzDLsb9RLyeO6d0w4
Prairie Rose,Roxy Music,spotify:track:5TSXQTFHlbxXghtEBR3Zcy
Scarborough Fair / Canticle,Simon & Garfunkel,spotify:track:53uzBMME2GSfpUVtOtiLvA
If You Think I'm Crazy Now (You Should Have Seen Me When I Was a Kid),Bobby Bare,spotify:track:4TsflUal5C3OKT7zh0TVjp
Inside My Love,Minnie Riperton,spotify:track:7yngji6ogBXvAJdeOSBHAP
On The Beach - Remastered,Neil Young,spotify:track:6vTZGECwpTLkgAdnfCgXwW
Tighter - 1970 Version,Paul Revere & The Raiders,spotify:track:4ywPhOvUDYLhVnRktaOrdk
Run Like Hell,Pink Floyd,spotify:track:0EaLRxrtnq7Mqhdf8q9txr
Astral Plane,The Modern Lovers,spotify:track:4z9o4sijfni4kGSos3VEDB
Another Night - 2008 Remaster,The Hollies,spotify:track:6XGpXFd88No06yOO68g3lN
Give Me The Good Earth,Gary Wright,spotify:track:4C0YmkurfzkAfS5WXWofv6
Les sans amour,Le SystÃ¨me Crapoutchik,spotify:track:5duqEBSujUQCM6ePo10kDn
Over and Over,MC5,spotify:track:1p6RP1wybA3ELF2vJ2TVqf
Healing Hands of Time,Willie Nelson,spotify:track:6wfZc245htBKxfH0vCjtgV
Freedom,Buffalo,spotify:track:2e2tCYGZAxae37H91Jh59f
Busted in Georgia,Thunderhead,spotify:track:7GB6uw91BeBEWnj2irnfrF
Sabbath Bloody Sabbath,Black Sabbath,spotify:track:2CzKVfVA9U7OKbIpAVPZOk
Morning Has Broken,Yusuf / Cat Stevens,spotify:track:3BqqF8suAIzW8655yJfcvh
Cheree - 2019 - Remaster,Suicide,spotify:track:5FvvXC6c3hUCXoNl4hHR63
Behind Blue Eyes,The Who,spotify:track:2X59ZxwE9x4pWnxsxKhr1E
A Prenormal Day At Brighton,Jade Warrior,spotify:track:1mPL4yjPMLOTTJCQxyw73R
Son of a Preacher Man,Aretha Franklin,spotify:track:4uCbetXW9LStYPUjCpBVp9
Mama Said,The Shirelles,spotify:track:2VTUydkNZkE1fZcqX6Hn3r
Demon & Eleven Children,Blues Creation,spotify:track:7FTjiFMrvXGpmnMHJK3Whm
Venus,Television,spotify:track:3x0iCzjgf0v9lnwvAhU9P2
Ooh Las Vegas - Remastered,Emmylou Harris,spotify:track:5s1JcCoc88HPLpfKKX3Hly
Swingtown,Steve Miller Band,spotify:track:4F01HOLdVKrIfH6LwOi07f
Brindo por TÃ­ y por MÃ­,Tormenta,spotify:track:0yKBkX8Hzgsl5wSow1Qrpa
Do Something for Yourself,Weldon Irvine,spotify:track:4JnCaWVDy13BJXU5IxFS17
Riders on the Storm,The Doors,spotify:track:14XWXWv5FoCbFzLksawpEe
Stronger Through The Years - Remastered,Roxy Music,spotify:track:3oN6GakwMKG2BjIMTUdXCN
House at Pooh Corner,Loggins & Messina,spotify:track:6COvxYdHnlLHqT55sLSoJc
Have You Ever Seen The Rain,Creedence Clearwater Revival,spotify:track:5XE8c07vbpQBUriwybOHtd
Pride and Vanity,Ohio Players,spotify:track:4EDobokEwWLB7Ef4RLjHsU
Original Sin,Cowboys International,spotify:track:1t5sxTyG4UlBUZxY4rwYan
Lovin' Her Was Easier (Than Anything I'll Ever Do Again),Waylon Jennings,spotify:track:5bSjmnoImuXJXroXA2uaAs
Hammond Song,The Roches,spotify:track:3cPtZw0oqMEkKlGSF0SLkc
Mushroom,CAN,spotify:track:0h2R6FLbRwIxttDAPOhYNF
